channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
3.0,-6.0,-15.0,1.0,2.0,3.0,-2.0,-2.0,0.18600107341452898,0.4393855116413391,0.042816378270515765,-0.11677188784423165,0.19650717446159402,-0.0679200921595199
-10.0,-3.0,11.0,0.0,-1.0,-3.0,0.0,-1.0,0.18475487521640982,0.44365035731259683,0.04197910022245133,-0.11184143439941152,0.2001835210862301,-0.0690017668186111
3.0,-6.0,4.0,-3.0,-6.0,-4.0,-1.0,-4.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
0.0,-9.0,25.0,3.0,0.0,-2.0,1.0,0.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
6.0,6.0,-14.0,1.0,5.0,1.0,-1.0,2.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
5.0,-1.0,8.0,-3.0,-9.0,-6.0,-5.0,30.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
1.0,10.0,10.0,-1.0,-6.0,-1.0,2.0,2.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
11.0,-12.0,-4.0,-2.0,0.0,4.0,0.0,-15.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
1.0,-3.0,-4.0,3.0,3.0,3.0,1.0,-4.0,0.16949482353446652,0.4217221127631726,0.04026538876936514,-0.09901720422106794,0.20076541288227812,-0.06607415380625269
-55.0,-39.0,-9.0,-7.0,-5.0,-2.0,-2.0,13.0,0.16954532251554635,0.4218633182747028,0.03908527847147003,-0.11542001384848317,0.19172055863175297,-0.06283381345266782
2.0,-9.0,-15.0,-2.0,-5.0,-3.0,1.0,-4.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
2.0,5.0,14.0,2.0,1.0,0.0,-2.0,-3.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
3.0,5.0,-21.0,1.0,3.0,3.0,-3.0,24.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
1.0,5.0,28.0,3.0,-5.0,-6.0,-1.0,-25.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
-1.0,-11.0,7.0,-5.0,-6.0,-4.0,2.0,-10.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
-2.0,2.0,4.0,-2.0,1.0,3.0,0.0,2.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
3.0,-6.0,-15.0,1.0,2.0,3.0,-2.0,-2.0,0.16949482353446652,0.4217221127631726,0.04026538876936514,-0.09901720422106794,0.20076541288227812,-0.06607415380625269
-10.0,-3.0,11.0,0.0,-1.0,-3.0,0.0,-1.0,0.16954532251554635,0.4218633182747028,0.03908527847147003,-0.11542001384848317,0.19172055863175297,-0.06283381345266782
5.0,0.0,-1.0,-8.0,5.0,5.0,2.0,1.0,0.18600107341452898,0.4393855116413391,0.042816378270515765,-0.11677188784423165,0.19650717446159402,-0.0679200921595199
0.0,-10.0,-7.0,4.0,-1.0,-5.0,-1.0,-11.0,0.18475487521640982,0.44365035731259683,0.04197910022245133,-0.11184143439941152,0.2001835210862301,-0.0690017668186111
3.0,-8.0,-9.0,-15.0,-6.0,-6.0,-7.0,-3.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
1.0,9.0,8.0,2.0,-1.0,3.0,-3.0,-2.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
1.0,-9.0,8.0,2.0,0.0,1.0,1.0,2.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
1.0,18.0,-7.0,-7.0,-2.0,-4.0,1.0,-2.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
-19.0,-20.0,-2.0,-8.0,-6.0,-4.0,-3.0,-3.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
20.0,6.0,-7.0,9.0,2.0,5.0,-3.0,1.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
-9.0,2.0,14.0,6.0,2.0,1.0,-1.0,13.0,0.16949482353446652,0.4217221127631726,0.04026538876936514,-0.09901720422106794,0.20076541288227812,-0.06607415380625269
12.0,-3.0,1.0,2.0,-3.0,-1.0,-3.0,-4.0,0.16954532251554635,0.4218633182747028,0.03908527847147003,-0.11542001384848317,0.19172055863175297,-0.06283381345266782
