Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:09:37 PM
Collection Length (seconds):, 45.7515
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0182956, 0.135, -0.3125, 0.135, -0.9624023, 0.135, 0.1274414, 0.0051923, -0.008896, 0.135, 0.3608398, 0.135, -0.9311523, 0.135, -0.1601562, 0.0051923, -0.0038605, 0.135, 0.1298828, 0.135, -1.0068359, 0.135, -0.0058594, 0.0051923, 0.0313878, 0.135, -0.1958008, 0.135, -0.9882812, 0.135, 0.0429688, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0038605, 0.1485, -0.3100586, 0.1485, -0.9624023, 0.1485, 0.1289062, 0.0057115, -0.0082246, 0.1485, 0.3618164, 0.1485, -0.9296875, 0.1485, -0.1616211, 0.0057115, -0.0058747, 0.1485, 0.1240234, 0.1485, -1.003418, 0.1485, -0.0068359, 0.0057115, 0.024506, 0.1485, -0.1982422, 0.1485, -0.9829102, 0.1485, 0.0429688, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0072175, 0.162, -0.3173828, 0.162, -0.9628906, 0.162, 0.1225586, 0.0062308, -0.0087282, 0.162, 0.3613281, 0.162, -0.9243164, 0.162, -0.1621094, 0.0062308, -0.005539, 0.162, 0.1206055, 0.162, -1.0019531, 0.162, -0.0083008, 0.0062308, 0.0206455, 0.162, -0.1962891, 0.162, -0.9799805, 0.162, 0.0419922, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0132601, 0.1755, -0.3188477, 0.1755, -0.9604492, 0.1755, 0.1230469, 0.00675, -0.008896, 0.1755, 0.3588867, 0.1755, -0.9248047, 0.1755, -0.1586914, 0.00675, -0.0052033, 0.1755, 0.1220703, 0.1755, -1.0039062, 0.1755, -0.0073242, 0.00675, 0.017792, 0.1755, -0.1923828, 0.1755, -0.9814453, 0.1755, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0182956, 0.189, -0.3222656, 0.189, -0.9594727, 0.189, 0.1225586, 0.0072692, -0.0075532, 0.189, 0.3579102, 0.189, -0.925293, 0.189, -0.1591797, 0.0072692, -0.0058747, 0.189, 0.1220703, 0.189, -1.0039062, 0.189, -0.0102539, 0.0072692, 0.0139315, 0.189, -0.1884766, 0.189, -0.9833984, 0.189, 0.0375977, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.023331, 0.2025, -0.3222656, 0.2025, -0.9604492, 0.2025, 0.1235352, 0.0077885, -0.0070497, 0.2025, 0.355957, 0.2025, -0.9262695, 0.2025, -0.1572266, 0.0077885, -0.0065461, 0.2025, 0.125, 0.2025, -1.0029297, 0.2025, -0.0146484, 0.0077885, 0.0099031, 0.2025, -0.1855469, 0.2025, -0.9853516, 0.2025, 0.0366211, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0219883, 0.216, -0.3188477, 0.216, -0.9619141, 0.216, 0.125, 0.0083077, -0.0078889, 0.216, 0.3598633, 0.216, -0.9287109, 0.216, -0.1567383, 0.0083077, -0.0068818, 0.216, 0.1259766, 0.216, -1.0078125, 0.216, -0.0097656, 0.0083077, 0.0072175, 0.216, -0.1894531, 0.216, -0.9873047, 0.216, 0.0351562, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0204776, 0.2295, -0.3164062, 0.2295, -0.9648438, 0.2295, 0.1259766, 0.0088269, -0.0078889, 0.2295, 0.362793, 0.2295, -0.9311523, 0.2295, -0.1557617, 0.0088269, -0.0050355, 0.2295, 0.125, 0.2295, -1.0078125, 0.2295, -0.0068359, 0.0088269, 0.0060426, 0.2295, -0.1884766, 0.2295, -0.9863281, 0.2295, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0253452, 0.243, -0.315918, 0.243, -0.9628906, 0.243, 0.1259766, 0.0093462, -0.0082246, 0.243, 0.3623047, 0.243, -0.9345703, 0.243, -0.1552734, 0.0093462, -0.0041962, 0.243, 0.1240234, 0.243, -1.0078125, 0.243, -0.0043945, 0.0093462, 0.005539, 0.243, -0.1928711, 0.243, -0.9853516, 0.243, 0.0375977, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0307164, 0.2565, -0.3149414, 0.2565, -0.965332, 0.2565, 0.1259766, 0.0098654, -0.0070497, 0.2565, 0.3623047, 0.2565, -0.9296875, 0.2565, -0.1601562, 0.0098654, -0.0058747, 0.2565, 0.1245117, 0.2565, -1.0053711, 0.2565, -0.0073242, 0.0098654, 0.0065461, 0.2565, -0.1972656, 0.2565, -0.9838867, 0.2565, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, 0.0307164, 0.27, -0.3164062, 0.27, -0.9663086, 0.27, 0.125, 0.0103846, -0.005539, 0.27, 0.3642578, 0.27, -0.9291992, 0.27, -0.1572266, 0.0103846, -0.0072175, 0.27, 0.1245117, 0.27, -1.0053711, 0.27, -0.0078125, 0.0103846, 0.0083925, 0.27, -0.1933594, 0.27, -0.9848633, 0.27, 0.0419922, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, 0.0293736, 0.2835, -0.3164062, 0.2835, -0.9619141, 0.2835, 0.1240234, 0.0109038, -0.0068818, 0.2835, 0.362793, 0.2835, -0.9311523, 0.2835, -0.152832, 0.0109038, -0.0062104, 0.2835, 0.1245117, 0.2835, -1.0063477, 0.2835, -0.0107422, 0.0109038, 0.0085603, 0.2835, -0.1884766, 0.2835, -0.9858398, 0.2835, 0.0410156, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, 0.0292058, 0.297, -0.3188477, 0.297, -0.9633789, 0.297, 0.121582, 0.0114231, -0.0085603, 0.297, 0.355957, 0.297, -0.9311523, 0.297, -0.1542969, 0.0114231, -0.0057069, 0.297, 0.125, 0.297, -1.0019531, 0.297, -0.0107422, 0.0114231, 0.0092317, 0.297, -0.1875, 0.297, -0.9848633, 0.297, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, 0.0270237, 0.3105, -0.3188477, 0.3105, -0.9609375, 0.3105, 0.1196289, 0.0119423, -0.0099031, 0.3105, 0.3530273, 0.3105, -0.9301758, 0.3105, -0.15625, 0.0119423, -0.0075532, 0.3105, 0.1240234, 0.3105, -1.0053711, 0.3105, -0.0073242, 0.0119423, 0.0099031, 0.3105, -0.1914062, 0.3105, -0.9858398, 0.3105, 0.0385742, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, 0.0219883, 0.324, -0.3232422, 0.324, -0.9619141, 0.324, 0.1206055, 0.0124615, -0.0082246, 0.324, 0.3510742, 0.324, -0.9296875, 0.324, -0.1557617, 0.0124615, -0.0085603, 0.324, 0.1240234, 0.324, -1.0078125, 0.324, -0.0063477, 0.0124615, 0.0105745, 0.324, -0.1958008, 0.324, -0.9848633, 0.324, 0.0371094, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, 0.0171206, 0.3375, -0.3271484, 0.3375, -0.9638672, 0.3375, 0.1201172, 0.0129808, -0.0065461, 0.3375, 0.355957, 0.3375, -0.9326172, 0.3375, -0.1552734, 0.0129808, -0.0075532, 0.3375, 0.121582, 0.3375, -1.0092773, 0.3375, -0.0048828, 0.0129808, 0.0112459, 0.3375, -0.1977539, 0.3375, -0.9868164, 0.3375, 0.0380859, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.0167849, 0.351, -0.324707, 0.351, -0.9638672, 0.351, 0.1220703, 0.0135, -0.0050355, 0.351, 0.3603516, 0.351, -0.9311523, 0.351, -0.1523438, 0.0135, -0.0065461, 0.351, 0.1191406, 0.351, -1.0092773, 0.351, -0.0048828, 0.0135, 0.0115816, 0.351, -0.1953125, 0.351, -0.9863281, 0.351, 0.0429688, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, 0.0219883, 0.3645, -0.3173828, 0.3645, -0.9628906, 0.3645, 0.1220703, 0.0140192, -0.0068818, 0.3645, 0.3647461, 0.3645, -0.9311523, 0.3645, -0.1499023, 0.0140192, -0.0072175, 0.3645, 0.1235352, 0.3645, -1.0063477, 0.3645, -0.0068359, 0.0140192, 0.0097353, 0.3645, -0.1933594, 0.3645, -0.9838867, 0.3645, 0.0410156, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, 0.0339055, 0.378, -0.3144531, 0.378, -0.9614258, 0.378, 0.1225586, 0.0145385, -0.008896, 0.378, 0.3671875, 0.378, -0.9291992, 0.378, -0.152832, 0.0145385, -0.0099031, 0.378, 0.1254883, 0.378, -1.0043945, 0.378, -0.0087891, 0.0145385, 0.0052033, 0.378, -0.1948242, 0.378, -0.9814453, 0.378, 0.0415039, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, 0.0488441, 0.3915, -0.3139648, 0.3915, -0.9584961, 0.3915, 0.1220703, 0.0150577, -0.0078889, 0.3915, 0.362793, 0.3915, -0.9291992, 0.3915, -0.1547852, 0.0150577, -0.0119173, 0.3915, 0.1289062, 0.3915, -1.0029297, 0.3915, -0.0063477, 0.0150577, -0.0013428, 0.3915, -0.1938477, 0.3915, -0.980957, 0.3915, 0.0410156, , , , , , , , , , , , , , , , , , , , , , 
0.0155769, 0.0585794, 0.405, -0.3193359, 0.405, -0.9594727, 0.405, 0.1210938, 0.0155769, -0.0068818, 0.405, 0.3564453, 0.405, -0.9272461, 0.405, -0.1567383, 0.0155769, -0.0125887, 0.405, 0.1279297, 0.405, -1, 0.405, -0.0058594, 0.0155769, -0.0058747, 0.405, -0.1962891, 0.405, -0.9814453, 0.405, 0.0454102, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, 0.0604257, 0.4185, -0.3232422, 0.4185, -0.9580078, 0.4185, 0.1210938, 0.0160962, -0.0075532, 0.4185, 0.3535156, 0.4185, -0.9282227, 0.4185, -0.1567383, 0.0160962, -0.0137636, 0.4185, 0.1225586, 0.4185, -1, 0.4185, -0.0058594, 0.0160962, -0.0070497, 0.4185, -0.1972656, 0.4185, -0.9804688, 0.4185, 0.0429688, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, 0.0595865, 0.432, -0.3237305, 0.432, -0.9594727, 0.432, 0.1196289, 0.0166154, -0.0097353, 0.432, 0.3530273, 0.432, -0.9296875, 0.432, -0.15625, 0.0166154, -0.0142672, 0.432, 0.1201172, 0.432, -1.0019531, 0.432, -0.0058594, 0.0166154, -0.0075532, 0.432, -0.2011719, 0.432, -0.9794922, 0.432, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0171346, 0.0538796, 0.4455, -0.324707, 0.4455, -0.9594727, 0.4455, 0.1225586, 0.0171346, -0.0092317, 0.4455, 0.3535156, 0.4455, -0.9296875, 0.4455, -0.1547852, 0.0171346, -0.0142672, 0.4455, 0.1162109, 0.4455, -1.0063477, 0.4455, -0.0087891, 0.0171346, -0.0070497, 0.4455, -0.1987305, 0.4455, -0.9814453, 0.4455, 0.0415039, , , , , , , , , , , , , , , , , , , , , , 
0.0176538, 0.0468299, 0.459, -0.324707, 0.459, -0.9624023, 0.459, 0.1220703, 0.0176538, -0.0062104, 0.459, 0.3574219, 0.459, -0.9321289, 0.459, -0.1567383, 0.0176538, -0.0132601, 0.459, 0.1176758, 0.459, -1.0068359, 0.459, -0.0078125, 0.0176538, -0.0065461, 0.459, -0.1962891, 0.459, -0.9853516, 0.459, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, 0.0411231, 0.4725, -0.3193359, 0.4725, -0.9604492, 0.4725, 0.1230469, 0.0181731, -0.005539, 0.4725, 0.3662109, 0.4725, -0.9291992, 0.4725, -0.1523438, 0.0181731, -0.0105745, 0.4725, 0.1254883, 0.4725, -1.0039062, 0.4725, -0.0058594, 0.0181731, -0.0052033, 0.4725, -0.1918945, 0.4725, -0.9819336, 0.4725, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, 0.0292058, 0.486, -0.3139648, 0.486, -0.9604492, 0.486, 0.1235352, 0.0186923, -0.005539, 0.486, 0.3681641, 0.486, -0.9291992, 0.486, -0.1479492, 0.0186923, -0.0085603, 0.486, 0.128418, 0.486, -0.9995117, 0.486, -0.0087891, 0.0186923, -0.0015106, 0.486, -0.1914062, 0.486, -0.9790039, 0.486, 0.0380859, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, 0.0166171, 0.4995, -0.3149414, 0.4995, -0.956543, 0.4995, 0.1235352, 0.0192115, -0.0058747, 0.4995, 0.3632812, 0.4995, -0.9257812, 0.4995, -0.1523438, 0.0192115, -0.0068818, 0.4995, 0.1289062, 0.4995, -1.0009766, 0.4995, -0.0063477, 0.0192115, 0.0052033, 0.4995, -0.1914062, 0.4995, -0.980957, 0.4995, 0.0371094, , , , , , , , , , , , , , , , , , , , , , 
