device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.4444,0.4583,0.4444,0.3485
CV,test_1,trasp,0.6667,0.7222,0.6667,0.6794
Combined,test_1,trasp,0.7778,0.8667,0.7778,0.7833
Myo,test_1,opaq,0.5556,0.4762,0.5556,0.4667
CV,test_1,opaq,0.3333,0.1111,0.3333,0.1667
Combined,test_1,opaq,0.6667,0.5000,0.6667,0.5556
Myo,test_2,trasp,0.6667,0.8333,0.6667,0.6667
CV,test_2,trasp,0.6667,0.8333,0.6667,0.6667
Combined,test_2,trasp,0.6667,0.8333,0.6667,0.6667
Myo,test_2,opaq,0.5000,0.4667,0.5000,0.4127
CV,test_2,opaq,0.0000,0.0000,0.0000,0.0000
Combined,test_2,opaq,0.5000,0.4667,0.5000,0.4127
Myo,test,test_1,0.5000,0.4667,0.5000,0.4127
CV,test,test_1,0.5000,0.6838,0.5000,0.4903
Combined,test,test_1,0.7222,0.8485,0.7222,0.7050
Myo,test,test_2,0.5833,0.8148,0.5833,0.5607
CV,test,test_2,0.3333,0.5111,0.3333,0.3407
Combined,test,test_2,0.5833,0.8148,0.5833,0.5607
Myo,box,trasp,0.5333,0.8056,0.5333,0.4977
CV,box,trasp,0.6667,0.7238,0.6667,0.6722
Combined,box,trasp,0.7333,0.8519,0.7333,0.7381
Myo,box,opaq,0.5333,0.4722,0.5333,0.4461
CV,box,opaq,0.2000,0.0769,0.2000,0.1111
Combined,box,opaq,0.6000,0.4848,0.6000,0.5046
Myo,total,total,0.5333,0.8056,0.5333,0.4789
CV,total,total,0.4333,0.5926,0.4333,0.4371
Combined,total,total,0.6667,0.8333,0.6667,0.6506
