,MVC
channel_1,39.07903387574966
channel_2,50.10578275118294
channel_3,58.21107767708096
channel_4,63.35586978266599
channel_5,56.92776339655474
channel_6,31.05418929654353
channel_7,48.73139010063939
channel_8,41.90613857909604
