cv_inf_ms,proc_time_ms
124.895,147.15
111.511,129.19
114.359,134.97
125.674,149.8
162.6,189.89
116.313,174.32
102.414,163.52
114.42,134.43
128.775,184.32
128.596,147.43
133.346,156.12
108.657,134.16
128.349,152.7
118.848,155.09
94.999,116.11
105.006,129.28
83.92,137.54
102.82,125.43
133.977,159.57
128.856,151.78
100.098,126.78
122.373,146.57
133.677,151.45
121.537,140.74
137.901,160.39
135.008,164.18
124.346,171.3
137.439,169.05
126.916,151.03
111.971,132.1
133.67,158.25
104.677,160.13
126.558,189.57
120.546,140.41
166.658,188.34
132.458,153.77
117.531,177.84
127.957,181.85
144.432,207.33
117.138,149.34
100.853,127.52
112.971,136.59
98.146,119.91
114.536,135.79
107.75,129.59
95.306,137.83
97.813,127.73
111.265,129.93
101.725,126.37
103.231,137.64
117.876,138.31
96.123,122.1
116.73,193.42
114.134,148.7
146.746,181.55
104.415,129.53
108.954,133.79
105.835,171.88
92.823,120.04
85.736,113.42
88.432,122.26
149.225,174.53
133.123,162.39
138.921,161.81
101.704,132.67
97.78,126.95
131.962,155.12
128.733,155.17
153.123,176.78
120.06,147.27
111.611,134.36
117.228,140.79
125.708,148.38
98.543,125.12
125.775,148.79
93.082,121.41
91.071,117.58
126.068,148.52
133.626,157.35
117.647,146.44
115.206,166.03
134.812,173.78
136.904,163.45
137.407,165.99
97.908,124.16
116.794,141.23
109.186,132.3
114.626,136.84
116.883,142.54
112.974,135.63
108.065,129.66
122.627,143.2
97.467,128.9
113.056,138.03
101.623,131.76
98.706,127.27
115.285,143.78
97.788,131.3
91.174,117.11
99.415,128.73
102.494,131.41
101.846,129.98
116.218,137.87
95.657,119.57
100.611,134.84
153.058,182.78
89.848,113.29
81.169,110.0
94.502,122.72
97.162,122.55
98.979,135.08
102.242,129.57
91.775,122.42
102.377,131.41
111.771,135.63
99.402,134.61
97.779,123.81
119.889,144.27
93.07,123.26
91.625,116.89
118.044,143.4
97.52,128.43
89.369,116.12
139.649,176.64
90.175,115.5
80.759,108.18
101.486,136.11
146.684,172.48
108.701,135.46
117.867,143.07
106.331,127.7
108.311,134.2
105.392,128.0
109.028,131.58
99.624,123.84
100.318,125.05
108.951,135.55
93.947,116.51
103.355,131.27
88.749,113.18
94.558,124.4
89.627,117.31
108.479,135.03
116.906,145.5
111.26,140.11
97.808,123.66
88.601,113.89
94.142,119.74
125.325,155.76
86.066,111.91
90.057,120.19
137.698,162.09
84.349,112.49
72.627,99.88
94.983,125.37
99.668,128.01
93.052,120.35
96.641,124.37
106.704,135.63
96.925,125.76
115.19,139.36
98.236,129.4
101.937,131.48
107.298,130.86
96.545,125.91
101.159,125.5
104.305,132.78
92.241,123.01
105.756,140.8
149.814,181.21
92.764,117.23
75.924,105.34
91.96,116.99
88.509,122.42
94.016,126.15
112.724,137.74
97.829,127.95
106.795,135.61
97.011,130.33
100.303,130.77
98.377,126.37
105.545,137.92
110.985,133.78
116.23,136.31
112.261,131.37
107.191,127.49
115.243,137.65
127.909,147.81
112.715,132.87
110.104,133.23
92.765,121.71
109.482,131.1
100.898,130.79
102.125,136.08
116.317,140.05
109.499,137.56
96.695,125.66
118.943,145.95
80.582,107.22
92.411,120.96
116.478,140.46
88.656,116.72
100.745,128.17
109.017,133.28
98.818,125.52
104.165,135.34
120.716,165.73
107.368,134.48
77.646,102.43
97.717,130.3
86.913,119.29
102.257,136.01
112.935,139.08
92.44,119.64
96.138,126.27
109.489,136.98
98.809,125.49
93.723,123.17
106.321,130.26
101.38,139.68
95.154,124.89
117.721,141.94
94.892,125.07
96.229,123.92
119.579,140.75
93.161,119.86
104.431,131.5
110.068,135.47
90.255,122.18
103.712,134.83
141.051,175.2
95.48,120.08
105.466,132.42
124.725,156.47
133.081,159.73
111.417,136.47
97.111,134.27
93.641,126.49
94.094,129.57
123.32,152.56
125.832,154.33
147.207,176.03
116.798,142.97
129.152,157.3
166.766,206.71
101.388,129.73
116.966,139.61
