file_id,window_idx,MAV,WL,IEMG,VAR,ZC,SSC,WAMP,label
Trial_4_All,18,0.024703073707903863,0.010170536983459738,9.510683377542987,8.888675297086918e-06,28,46,292,light
Trial_4_All,19,0.02930872835249129,0.008046009926668152,11.283860415709146,5.6163754694164336e-06,28,46,304,light
Trial_4_All,20,0.0327462280904042,0.005698387167659479,12.607297814805616,2.6424566800671363e-06,29,40,308,light
Trial_4_All,21,0.03725444545407927,0.012833949635552996,14.34296149982052,1.4580197693366744e-05,30,34,305,light
Trial_4_All,22,0.045588507231675617,0.020519897694484653,17.551575284195113,3.680079323521502e-05,33,43,327,light
Trial_4_All,23,0.05293252740524861,0.014488545572963023,20.379023051020717,9.646348425724212e-06,32,49,348,light
Trial_4_All,24,0.053256003769092106,0.007628106195621542,20.50356145110046,4.332513939405101e-06,34,50,343,light
Trial_4_All,25,0.04885672749052132,0.010633000823877067,18.80984008385071,9.537325940022482e-06,36,57,327,light
Trial_4_All,26,0.04263106914367683,0.014277719269552014,16.412961620315578,1.769163738385221e-05,29,58,311,light
Trial_4_All,27,0.03721295085323523,0.00889827139382119,14.326986078495564,5.512423354164744e-06,25,50,300,light
Trial_4_All,28,0.03601705888145422,0.0028500095202907555,13.866567669359876,4.813583812713141e-07,27,53,292,light
Trial_4_All,29,0.03767453079289741,0.004377066688940008,14.504694355265505,1.6387267531163214e-06,31,61,307,light
Trial_4_All,30,0.04038709431989152,0.006477758105530709,15.549031313158237,3.6887361107899254e-06,38,57,332,light
Trial_4_All,31,0.043940660480824796,0.0076796163252984065,16.917154285117547,4.908720989904645e-06,40,58,346,light
Trial_4_All,32,0.04806587647201324,0.008823633929634346,18.505362441725097,6.682496029130389e-06,32,57,338,light
Trial_4_All,33,0.05170364536402591,0.005339032065616041,19.905903465149976,2.855617828853195e-06,31,44,342,light
Trial_4_All,34,0.053394995764763906,0.0014178673687214594,20.557073369434104,1.096161554743225e-07,31,44,352,light
Trial_4_All,35,0.05207202055401094,0.008352987195241746,20.04772791329421,5.515894718840846e-06,28,46,333,light
Trial_4_All,36,0.046218975606661085,0.016366100079392362,17.794305608564517,2.4279230598659287e-05,30,38,318,light
Trial_4_All,37,0.03967947615028961,0.010409482576935775,15.2765983178615,8.387130120947323e-06,29,40,303,light
Trial_4_All,38,0.0379469860537344,0.0030112543717205967,14.609589630687744,4.1581759026663943e-07,27,44,295,light
Trial_4_All,39,0.039752809032611934,0.00529739147203654,15.304831477555595,2.4300776424080304e-06,25,31,318,light
Trial_4_All,40,0.04323135277525133,0.00862359165200477,16.64407081847176,6.6841168039316746e-06,27,31,333,light
Trial_4_All,41,0.04602561686104491,0.008450623354107213,17.71986249150229,1.7393005859569561e-06,29,36,325,light
Trial_4_All,42,0.044657087030081276,0.007886835537640975,17.19297850658129,4.998032333390251e-06,29,38,326,light
Trial_4_All,43,0.041035275723884546,0.006619656218271298,15.798581153695551,3.792892293899733e-06,31,46,326,light
Trial_4_All,44,0.038065947725736876,0.005254816965390971,14.655389874408698,2.2184096398395047e-06,25,53,314,light
Trial_4_All,45,0.035191833602924334,0.0065416458836752706,13.54885593712587,3.5361323883601026e-06,23,47,295,light
Trial_4_All,46,0.03151391025045677,0.008173200774924227,12.132855446425857,5.846006712243159e-06,25,41,292,light
Trial_4_All,47,0.028652732676408926,0.007009782663653676,11.031302080417436,1.5897642209677098e-06,28,48,294,light
Trial_4_All,48,0.029170905941998806,0.005466505967395223,11.23079878766954,2.2347074839051467e-06,29,41,293,light
Trial_4_All,49,0.03130749924814546,0.0030875576347163015,12.053387210536002,1.009819141904081e-06,30,36,305,light
Trial_4_All,50,0.03222187460953271,0.0005650264020192405,12.405421724670093,9.806527357698152e-09,32,45,319,light
Trial_4_All,51,0.03230662573588916,0.00026536823068463306,12.438050908317326,1.5376945785279378e-09,27,48,318,light
Trial_4_All,52,0.032248432007065404,0.00028347895772368875,12.415646322720182,6.5875872257878585e-09,28,49,310,light
Trial_4_All,53,0.03273938648232749,0.0029743381806149813,12.604663795696085,7.208723456398009e-07,28,48,296,light
Trial_4_All,54,0.03491602019411224,0.006102775772246209,13.442667774733213,3.4922985732624623e-06,25,44,300,light
Trial_4_All,55,0.036134983860425254,0.01040145604176352,13.911968786263724,2.8130363425271894e-06,28,41,272,light
Trial_4_All,56,0.031901168550246876,0.014938085519598354,12.281949891845048,1.965367149181371e-05,30,39,261,light
Trial_4_All,57,0.02615954412403525,0.011660429038478765,10.071424487753571,6.521015050030335e-06,28,37,283,light
Trial_4_All,58,0.02578875429326748,0.007048164987702679,9.92867040290798,3.1192181016175243e-06,25,37,269,light
Trial_4_All,59,0.029014625065171454,0.006840938266526746,11.17063065009101,3.87963184052761e-06,20,40,282,light
Trial_4_All,60,0.03257276442647766,0.007392517667489398,12.5405143041939,4.6848707452979505e-06,19,42,288,light
Trial_4_All,61,0.035644348423815204,0.004342486537147694,13.723074143168853,2.059085142631281e-06,26,47,290,light
Trial_4_All,62,0.03686835847495621,0.000605829520666186,14.194318012858142,8.422914874726942e-09,25,46,272,light
Trial_4_All,63,0.03627892975141566,0.0029015118228545717,13.96738795429503,8.086266832631199e-07,24,42,281,light
Trial_4_All,64,0.03396580913948113,0.006356953776070918,13.076836518700233,3.883475140497019e-06,28,49,299,light
Trial_4_All,65,0.03170169282153214,0.006804902630537055,12.205151736289874,1.173992113120519e-06,26,52,292,light
Trial_4_All,66,0.032757054401320915,0.006672119482787318,12.611465944508552,3.4536939442250055e-06,23,46,292,light
Trial_4_All,67,0.03457755950872164,0.008214090325995849,13.312360410857833,1.4132521083910887e-06,23,38,282,light
Trial_4_All,68,0.03223877356770144,0.010114770469185925,12.411927823565055,8.600653511819652e-06,24,48,261,light
Trial_4_All,69,0.02820221052071585,0.0073352896151724425,10.857851050475603,3.4429977728051995e-06,28,51,270,light
Trial_4_All,70,0.02737331844036705,0.0035366732540522867,10.538727599541314,5.858533365475004e-07,31,40,289,light
