Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:39:25 PM
Collection Length (seconds):, 31.482
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.018967, 0, -0.2885742, 0, -0.9731445, 0, 0.1435547, 0, -0.0062104, 0, 0.3623047, 0, -0.9282227, 0, -0.1918945, 0, -0.0102388, 0, 0.1176758, 0, -1.0058594, 0, 0.0244141, 0, -0.0097353, 0, -0.215332, 0, -0.9819336, 0, 0.0185547, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0.0159457, 0.0135, -0.2841797, 0.0135, -0.972168, 0.0135, 0.1450195, 0.0005192, -0.0082246, 0.0135, 0.3608398, 0.0135, -0.9287109, 0.0135, -0.1928711, 0.0005192, -0.0092317, 0.0135, 0.1225586, 0.0135, -1.0043945, 0.0135, 0.0239258, 0.0005192, -0.0072175, 0.0135, -0.2128906, 0.0135, -0.9853516, 0.0135, 0.0195312, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0112459, 0.027, -0.2822266, 0.027, -0.9716797, 0.027, 0.1445312, 0.0010385, -0.0078889, 0.027, 0.359375, 0.027, -0.9262695, 0.027, -0.1987305, 0.0010385, -0.0078889, 0.027, 0.1274414, 0.027, -1.003418, 0.027, 0.0214844, 0.0010385, -0.0023499, 0.027, -0.2075195, 0.027, -0.9848633, 0.027, 0.0195312, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.010071, 0.0405, -0.2841797, 0.0405, -0.9711914, 0.0405, 0.144043, 0.0015577, -0.0072175, 0.0405, 0.3598633, 0.0405, -0.9248047, 0.0405, -0.1977539, 0.0015577, -0.005539, 0.0405, 0.1225586, 0.0405, -1.0024414, 0.0405, 0.0209961, 0.0015577, 0.0038605, 0.0405, -0.2094727, 0.0405, -0.9853516, 0.0405, 0.0200195, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0097353, 0.054, -0.2900391, 0.054, -0.9707031, 0.054, 0.1396484, 0.0020769, -0.0095674, 0.054, 0.3618164, 0.054, -0.9233398, 0.054, -0.190918, 0.0020769, -0.0035248, 0.054, 0.1147461, 0.054, -1.0004883, 0.054, 0.0224609, 0.0020769, 0.0085603, 0.054, -0.2128906, 0.054, -0.9824219, 0.054, 0.0229492, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0045319, 0.0675, -0.2880859, 0.0675, -0.9677734, 0.0675, 0.1445312, 0.0025962, -0.0099031, 0.0675, 0.3598633, 0.0675, -0.9228516, 0.0675, -0.190918, 0.0025962, -0.0018463, 0.0675, 0.1186523, 0.0675, -1.0009766, 0.0675, 0.0253906, 0.0025962, 0.0119173, 0.0675, -0.2158203, 0.0675, -0.9794922, 0.0675, 0.0209961, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0011749, 0.081, -0.2890625, 0.081, -0.9692383, 0.081, 0.1416016, 0.0031154, -0.0075532, 0.081, 0.3613281, 0.081, -0.9199219, 0.081, -0.1918945, 0.0031154, -0.0008392, 0.081, 0.1181641, 0.081, -1.003418, 0.081, 0.0268555, 0.0031154, 0.0154421, 0.081, -0.2182617, 0.081, -0.9790039, 0.081, 0.0224609, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0011749, 0.0945, -0.2885742, 0.0945, -0.96875, 0.0945, 0.1435547, 0.0036346, -0.005539, 0.0945, 0.3637695, 0.0945, -0.925293, 0.0945, -0.1914062, 0.0036346, -0.0008392, 0.0945, 0.1196289, 0.0945, -1.0048828, 0.0945, 0.0273438, 0.0036346, 0.0196384, 0.0945, -0.2197266, 0.0945, -0.9804688, 0.0945, 0.0214844, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0008392, 0.108, -0.2871094, 0.108, -0.9667969, 0.108, 0.1459961, 0.0041538, -0.0075532, 0.108, 0.3613281, 0.108, -0.9272461, 0.108, -0.1943359, 0.0041538, -0.0008392, 0.108, 0.1230469, 0.108, -0.9995117, 0.108, 0.0317383, 0.0041538, 0.0243381, 0.108, -0.21875, 0.108, -0.9824219, 0.108, 0.0175781, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0005035, 0.1215, -0.2890625, 0.1215, -0.96875, 0.1215, 0.144043, 0.0046731, -0.0085603, 0.1215, 0.359375, 0.1215, -0.9248047, 0.1215, -0.1928711, 0.0046731, -0.0010071, 0.1215, 0.1254883, 0.1215, -1, 0.1215, 0.034668, 0.0046731, 0.0305486, 0.1215, -0.2192383, 0.1215, -0.9819336, 0.1215, 0.0180664, , , , , , , , , , , , , , , , , , , , , , 
