Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:03:46 PM
Collection Length (seconds):, 34.5735
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, 0.0229953, 0.135, -0.2553711, 0.135, -0.9990234, 0.135, 0.0683594, 0.0051923, -0.005539, 0.135, 0.2700195, 0.135, -0.9604492, 0.135, -0.1704102, 0.0051923, -0.0045319, 0.135, 0.1420898, 0.135, -1.0063477, 0.135, -0.1010742, 0.0051923, 0.0026856, 0.135, -0.0795898, 0.135, -1.0048828, 0.135, 0.0307617, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0203098, 0.1485, -0.2568359, 0.1485, -1.0004883, 0.1485, 0.0644531, 0.0057115, -0.0075532, 0.1485, 0.2744141, 0.1485, -0.9589844, 0.1485, -0.1689453, 0.0057115, -0.0045319, 0.1485, 0.1430664, 0.1485, -1.0053711, 0.1485, -0.1015625, 0.0057115, 0.0011749, 0.1485, -0.0864258, 0.1485, -1.0014648, 0.1485, 0.0317383, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0203098, 0.162, -0.2529297, 0.162, -1, 0.162, 0.0668945, 0.0062308, -0.0083925, 0.162, 0.2724609, 0.162, -0.9628906, 0.162, -0.1694336, 0.0062308, -0.005539, 0.162, 0.1450195, 0.162, -1.0048828, 0.162, -0.1040039, 0.0062308, 0.0038605, 0.162, -0.0898438, 0.162, -0.9995117, 0.162, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0236667, 0.1755, -0.2475586, 0.1755, -0.9960938, 0.1755, 0.0703125, 0.00675, -0.0105745, 0.1755, 0.2719727, 0.1755, -0.9594727, 0.1755, -0.1713867, 0.00675, -0.0058747, 0.1755, 0.144043, 0.1755, -1.0048828, 0.1755, -0.1005859, 0.00675, 0.0062104, 0.1755, -0.0893555, 0.1755, -1.0043945, 0.1755, 0.0351562, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0313878, 0.189, -0.2446289, 0.189, -0.9970703, 0.189, 0.0673828, 0.0072692, -0.0102388, 0.189, 0.277832, 0.189, -0.9584961, 0.189, -0.1689453, 0.0072692, -0.0077211, 0.189, 0.1396484, 0.189, -1.0009766, 0.189, -0.1005859, 0.0072692, 0.0043641, 0.189, -0.0908203, 0.189, -1.0019531, 0.189, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0461585, 0.2025, -0.2451172, 0.2025, -0.996582, 0.2025, 0.0673828, 0.0077885, -0.0075532, 0.2025, 0.2802734, 0.2025, -0.9560547, 0.2025, -0.1689453, 0.0077885, -0.0082246, 0.2025, 0.1391602, 0.2025, -1, 0.2025, -0.1049805, 0.0077885, 0.0011749, 0.2025, -0.0913086, 0.2025, -1.0004883, 0.2025, 0.0336914, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0582437, 0.216, -0.246582, 0.216, -0.9960938, 0.216, 0.0668945, 0.0083077, -0.0068818, 0.216, 0.2734375, 0.216, -0.9584961, 0.216, -0.1694336, 0.0083077, -0.0068818, 0.216, 0.1411133, 0.216, -0.9985352, 0.216, -0.1054688, 0.0083077, -0.0011749, 0.216, -0.0834961, 0.216, -1, 0.216, 0.0307617, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.063447, 0.2295, -0.2470703, 0.2295, -0.9941406, 0.2295, 0.0649414, 0.0088269, -0.0075532, 0.2295, 0.2705078, 0.2295, -0.9570312, 0.2295, -0.1699219, 0.0088269, -0.0082246, 0.2295, 0.1455078, 0.2295, -1.0014648, 0.2295, -0.1064453, 0.0088269, -0.002182, 0.2295, -0.0834961, 0.2295, -0.9995117, 0.2295, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0669718, 0.243, -0.25, 0.243, -0.9960938, 0.243, 0.0654297, 0.0093462, -0.0095674, 0.243, 0.2700195, 0.243, -0.9555664, 0.243, -0.1689453, 0.0093462, -0.012253, 0.243, 0.1450195, 0.243, -1.0009766, 0.243, -0.1040039, 0.0093462, -0.0031891, 0.243, -0.0869141, 0.243, -1.0004883, 0.243, 0.0292969, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.068986, 0.2565, -0.2563477, 0.2565, -1, 0.2565, 0.0649414, 0.0098654, -0.0090639, 0.2565, 0.2749023, 0.2565, -0.9594727, 0.2565, -0.1660156, 0.0098654, -0.0135958, 0.2565, 0.1416016, 0.2565, -1.0058594, 0.2565, -0.0981445, 0.0098654, -0.0038605, 0.2565, -0.0883789, 0.2565, -1.0024414, 0.2565, 0.0297852, , , , , , , , , , , , , , , , , , , , , , 
