Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
10_51_24_794,0.0,-2.0,-5.0,0.0,1.0,0.0,-3.0,-4.0,0.93798828125,-0.181640625,0.2490234375,-5.609756097560976,-2.987804878048781,-4.2682926829268295
10_51_24_794,-2.0,-2.0,0.0,1.0,2.0,0.0,2.0,5.0,0.94091796875,-0.17431640625,0.2490234375,-5.121951219512195,-3.2926829268292686,-4.451219512195122
10_51_24_794,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-4.0,1.0,0.94580078125,-0.1650390625,0.25,-3.2926829268292686,-3.414634146341464,-4.75609756097561
10_51_24_794,-7.0,-5.0,-3.0,-2.0,-9.0,-2.0,-6.0,-1.0,0.94677734375,-0.1689453125,0.25390625,-1.7682926829268295,-3.5975609756097566,-5.0
10_51_24_794,-7.0,-2.0,-2.0,-4.0,-3.0,-1.0,-7.0,-3.0,0.9462890625,-0.17138671875,0.25048828125,-2.439024390243903,-3.780487804878049,-5.548780487804878
10_51_24_794,3.0,-1.0,8.0,-1.0,-3.0,0.0,-2.0,-3.0,0.9404296875,-0.1796875,0.25634765625,-4.75609756097561,-4.024390243902439,-5.853658536585367
10_51_24_794,-4.0,-1.0,-2.0,-4.0,-1.0,-1.0,0.0,3.0,0.935546875,-0.18310546875,0.2470703125,-7.865853658536586,-4.024390243902439,-6.036585365853659
10_51_24_794,-5.0,-4.0,-3.0,1.0,0.0,-3.0,-2.0,-1.0,0.94775390625,-0.17919921875,0.24755859375,-11.402439024390246,-4.2682926829268295,-5.609756097560976
10_51_24_794,1.0,0.0,4.0,-5.0,-1.0,0.0,1.0,-1.0,0.95166015625,-0.1728515625,0.23779296875,-12.926829268292684,-4.451219512195122,-4.878048780487806
10_51_24_794,2.0,2.0,-2.0,1.0,0.0,1.0,3.0,-2.0,0.94580078125,-0.1572265625,0.24365234375,-10.121951219512196,-3.8414634146341466,-4.390243902439025
10_51_24_836,0.0,-1.0,0.0,-1.0,-2.0,-3.0,-3.0,-1.0,0.9462890625,-0.19091796875,0.2353515625,-1.6463414634146343,-2.987804878048781,-3.780487804878049
10_51_24_836,3.0,-3.0,-9.0,2.0,3.0,1.0,-1.0,2.0,0.93701171875,-0.1953125,0.24462890625,-4.085365853658537,-3.353658536585366,-3.963414634146342
10_51_24_836,-5.0,-3.0,-2.0,-2.0,1.0,0.0,1.0,-6.0,0.935546875,-0.18212890625,0.23828125,-5.487804878048781,-3.1707317073170733,-4.329268292682928
10_51_24_836,-4.0,-2.0,-1.0,-5.0,-3.0,-1.0,-2.0,-3.0,0.93798828125,-0.181640625,0.2490234375,-5.609756097560976,-2.987804878048781,-4.2682926829268295
10_51_24_836,-5.0,-5.0,-6.0,2.0,-4.0,-8.0,-5.0,-6.0,0.94091796875,-0.17431640625,0.2490234375,-5.121951219512195,-3.2926829268292686,-4.451219512195122
10_51_24_836,11.0,9.0,6.0,2.0,1.0,2.0,2.0,2.0,0.94580078125,-0.1650390625,0.25,-3.2926829268292686,-3.414634146341464,-4.75609756097561
10_51_24_836,-5.0,-1.0,-2.0,-4.0,-7.0,-1.0,-3.0,-2.0,0.94677734375,-0.1689453125,0.25390625,-1.7682926829268295,-3.5975609756097566,-5.0
10_51_24_836,-5.0,4.0,-4.0,3.0,0.0,0.0,-2.0,-3.0,0.9462890625,-0.17138671875,0.25048828125,-2.439024390243903,-3.780487804878049,-5.548780487804878
10_51_24_836,-1.0,-4.0,-6.0,-1.0,-4.0,-4.0,-3.0,-5.0,0.9404296875,-0.1796875,0.25634765625,-4.75609756097561,-4.024390243902439,-5.853658536585367
10_51_24_836,0.0,-4.0,0.0,2.0,2.0,2.0,1.0,0.0,0.935546875,-0.18310546875,0.2470703125,-7.865853658536586,-4.024390243902439,-6.036585365853659
10_51_24_894,-5.0,-1.0,-6.0,-2.0,-6.0,1.0,0.0,-3.0,0.95263671875,-0.1748046875,0.234375,-2.073170731707317,-2.439024390243903,-2.0121951219512195
