Subject,Session,Lift_Label,Start_Time_Str,End_Time_Str,Raw_Time_Diff_ms,Transition_Start_ms,Transition_End_ms,Duration_ms
S20,test2a,2,11_04_05_953,11_04_13_077,7124,539.0,523.0,7140.0
S20,test2a,1,11_04_21_868,11_04_31_167,9299,559.0,177.0,9681.0
S20,test2a,2,11_04_39_002,11_04_48_262,9260,549.0,386.0,9423.0
S20,test2a,2,11_04_59_237,11_05_07_294,8057,501.0,363.0,8195.0
S20,test2a,2,11_05_15_525,11_05_24_317,8792,453.0,398.0,8847.0
S20,test2b,2,11_09_17_547,11_09_25_389,7842,183.0,276.0,7749.0
S20,test2b,2,11_09_34_649,11_09_42_338,7689,537.0,196.0,8030.0
S20,test2b,3,11_09_50_472,11_09_55_799,5327,532.0,213.0,5646.0
S20,test2b,3,11_10_14_036,11_10_19_548,5512,568.0,426.0,5654.0
S20,test2b,3,11_10_27_049,11_10_34_114,7065,254.0,215.0,7104.0
S20,test2b,1,11_10_41_429,11_10_47_237,5808,728.0,435.0,6101.0
S21,test1a,1,13_09_04_607,13_09_06_742,2135,538.0,439.0,2234.0
S21,test1a,2,13_09_27_531,13_09_30_990,3459,485.0,306.0,3638.0
S21,test1a,2,13_09_46_445,13_09_50_921,4476,471.0,409.0,4538.0
S21,test1a,2,13_11_07_151,13_11_10_613,3462,273.0,325.0,3410.0
S21,test1a,2,13_11_23_949,13_11_27_528,3579,387.0,205.0,3761.0
S21,test1a,1,13_11_42_523,13_11_45_546,3023,562.0,494.0,3091.0
S21,test1a,2,13_12_35_061,13_12_39_311,4250,541.0,595.0,4196.0
S21,test1a,2,13_12_54_194,13_12_57_651,3457,526.0,582.0,3401.0
S21,test1a,2,13_13_12_028,13_13_15_333,3305,438.0,316.0,3427.0
S21,test1b,2,13_16_55_742,13_17_00_563,4821,490.0,139.0,5172.0
S21,test1b,1,13_17_14_730,13_17_18_021,3291,529.0,417.0,3403.0
S21,test1b,2,13_17_33_077,13_17_37_528,4451,561.0,196.0,4816.0
S21,test1b,2,13_18_27_733,13_18_31_065,3332,462.0,225.0,3569.0
S21,test1b,2,13_18_43_932,13_18_48_825,4893,230.0,507.0,4616.0
S21,test1b,2,13_19_04_817,13_19_07_931,3114,554.0,525.0,3143.0
S21,test1b,2,13_19_42_123,13_19_45_500,3377,558.0,366.0,3569.0
S21,test1b,2,13_19_59_291,13_20_02_777,3486,532.0,420.0,3598.0
S21,test1b,2,13_20_17_462,13_20_21_015,3553,468.0,510.0,3511.0
S21,test2a,2,13_22_03_781,13_22_10_302,6521,412.0,529.0,6404.0
S21,test2a,2,13_22_17_320,13_22_23_883,6563,523.0,337.0,6749.0
S21,test2a,2,13_22_30_387,13_22_35_032,4645,560.0,272.0,4933.0
S21,test2a,1,13_22_54_302,13_23_00_431,6129,605.0,570.0,6164.0
S21,test2a,2,13_23_06_645,13_23_13_489,6844,570.0,545.0,6869.0
S21,test2a,3,13_23_18_407,13_23_25_554,7147,555.0,172.0,7530.0
S21,test2b,2,13_26_21_841,13_26_28_295,6454,701.0,308.0,6847.0
S21,test2b,2,13_26_36_204,13_26_43_020,6816,296.0,485.0,6627.0
S21,test2b,2,13_26_50_303,13_26_56_282,5979,342.0,208.0,6113.0
S21,test2b,2,13_27_10_547,13_27_16_769,6222,380.0,338.0,6264.0
S21,test2b,2,13_27_38_433,13_27_43_959,5526,563.0,233.0,5856.0
