transition_time
0.285
0.137
0.556
0.65
0.516
0.25
0.257
0.317
0.527
0.803
0.55
0.528
0.575
0.559
0.288
0.641
0.321
0.508
0.198
0.236
0.415
0.541
0.488
0.539
0.359
0.504
0.192
0.422
0.533
0.505
0.806
0.187
0.196
0.372
0.636
0.277
0.545
0.187
0.507
0.557
0.295
0.286
0.521
0.528
0.211
0.535
0.594
0.798
0.615
0.546
0.531
0.554
0.647
0.535
0.545
0.502
0.558
0.592
0.572
0.642
0.594
0.245
0.58
0.623
0.519
0.548
0.785
0.7
0.513
0.399
0.601
0.549
0.57
0.573
0.392
0.546
0.545
0.528
0.608
0.561
0.228
0.339
0.511
0.518
0.533
0.518
0.566
0.359
0.553
0.584
0.349
0.509
0.635
0.558
0.368
0.538
0.607
0.397
0.265
0.519
0.206
0.51
0.563
0.521
0.504
0.446
0.534
0.288
0.524
0.52
0.521
0.541
0.347
0.509
0.51
0.557
0.467
0.523
0.679
0.537
0.332
0.526
0.547
0.471
0.557
0.357
0.537
0.58
0.534
0.515
0.468
0.154
0.491
0.553
0.411
0.343
0.604
0.537
0.577
0.461
0.614
0.517
0.506
0.485
0.527
0.336
0.231
0.564
0.443
0.432
0.481
0.331
0.621
0.548
0.525
0.703
0.528
0.265
0.473
0.457
0.218
0.221
0.391
0.286
0.524
0.529
0.234
0.742
0.518
0.546
0.532
0.558
0.435
0.414
0.547
0.268
0.575
0.441
0.374
0.598
0.53
0.558
0.373
0.873
0.544
0.476
0.572
0.399
0.505
0.521
0.473
0.762
0.458
0.388
0.505
0.219
0.516
0.562
0.513
0.596
0.576
0.361
0.541
0.461
0.334
0.535
0.515
0.247
0.527
0.388
0.48
0.588
0.551
0.506
0.565
0.602
0.444
0.585
0.515
0.53
0.202
0.56
0.29
0.246
0.678
0.563
0.35
0.218
0.561
0.612
0.551
0.226
0.532
0.544
0.535
0.545
0.217
0.563
0.537
0.552
0.513
0.588
0.634
0.679
0.708
0.625
0.688
0.604
0.518
0.52
0.469
0.523
0.571
0.527
0.626
0.566
0.529
0.518
0.52
0.516
0.545
0.51
0.551
0.564
0.541
0.202
0.606
0.863
0.553
0.473
0.509
0.462
0.521
0.537
0.345
0.513
0.537
0.295
0.564
0.54
0.544
0.561
0.632
0.553
0.543
0.515
0.515
0.525
0.554
0.558
0.525
0.286
0.442
0.58
0.448
0.56
0.519
0.314
0.552
0.548
0.589
0.326
0.39
0.555
0.515
0.538
0.586
0.57
0.586
0.285
0.384
0.574
0.543
0.316
0.44
0.112
0.487
0.518
0.54
0.513
0.557
0.548
0.506
0.531
0.717
0.56
0.537
0.523
0.544
0.542
0.566
0.538
0.601
0.53
0.521
0.564
0.484
0.569
0.427
0.359
0.52
0.554
0.51
0.522
0.183
0.537
0.532
0.568
0.254
0.728
0.539
0.559
0.549
0.501
0.453
0.712
0.644
0.175
0.322
0.935
0.563
0.366
0.317
0.252
0.598
0.555
0.571
0.522
0.523
0.526
0.539
0.538
0.338
0.523
0.701
0.296
0.342
0.38
0.517
0.563
0.412
0.523
0.56
0.605
0.57
0.555
0.49
0.529
0.561
0.462
0.23
0.554
0.558
0.532
0.468
0.538
0.485
0.471
0.273
0.387
0.562
0.541
0.526
0.438
