ISD_biceps,KURT_biceps,LD_biceps,MAV_biceps,MNF_biceps,MNP_biceps,MPK_biceps,RMS_biceps,SAMPEN_biceps,SKEW_biceps,SM_biceps,SSC_biceps,VAR_biceps,WAMP_biceps,WL_biceps,ZC_biceps,IAV_triceps,ISD_triceps,KURT_triceps,LD_triceps,MAV_triceps,MNF_triceps,MNP_triceps,MPK_triceps,RMS_triceps,SAMPEN_triceps,SKEW_triceps,SM_triceps,SSC_triceps,VAR_triceps,WAMP_triceps,WL_triceps,ZC_triceps,label
0.0653125496238486,2.6885310177066617,1.016128535617972,0.0161285742235251,0.7788356900061034,2.0528111879135857e-06,0.0165685357544977,0.0161310062008291,0.0133455291772143,0.1051315730109486,0.0364843251633184,103,7.845456743013311e-08,64,0.0011589287802892,59,8.820963872095806,0.3100669425960521,3.886918763588015,1.035143148962289,0.0351432823589474,0.8221650888989211,9.745954321912727e-06,0.0360592381814112,0.0351472113335625,0.0460214141010478,0.3884252691405001,0.184729398357393,101,2.761695653983924e-07,67,0.003473093322995,63,no weight
0.0644555730815009,3.445029807899818,1.0160181229106593,0.0160182270251277,0.7509064102101872,2.0253527649892048e-06,0.0165685357544977,0.0160248279828049,0.0188095735596726,-0.1935677633851559,0.0345942437850642,100,2.1151484995572157e-07,50,0.0020120787219223,58,9.513672393473598,0.3642847612968605,3.676476641730457,1.0378960133328756,0.037903077264835,0.9371423078363378,1.139399109823692e-05,0.0462386717460167,0.0380963739789767,0.009925988054547,0.3006909492493588,0.2402831552797298,106,1.469044420200152e-05,69,0.0128234267777997,60,no weight
0.0565919213959523,3.626785315491104,1.014995291392407,0.014995586073869,0.8126388781621483,1.7766450807017332e-06,0.016349909290774,0.0150155193814476,0.0046936325551498,-0.1943074234625117,0.0328715050310698,100,5.982205958159417e-07,48,0.0025881602982671,60,11.59626685437575,0.5445889521655278,3.666151663389715,1.0461834353247177,0.0462002663520946,0.851440129464387,1.6981754095745455e-05,0.0557002623454666,0.0465797928318822,0.0020578774735106,0.0760056297982921,0.3130828460317326,102,3.5212489256580915e-05,90,0.0198044139991473,57,no weight
0.050917926566356,2.9720907881435794,1.0142399253776613,0.0142399665927425,0.8375100395504306,1.6002911216600178e-06,0.0149834938925003,0.014242902274628,0.0322910534238204,0.020772372087763,0.0308015275263874,98,8.361664218200288e-08,51,0.0017082973042279,60,13.751208247260037,0.7577114781626899,3.110287005371903,1.0547774799320735,0.0547856902281276,0.7834263100065055,2.375129755620639e-05,0.0607898606593096,0.0549433419927603,0.0013812682671825,-0.0969826837356766,0.4160191543352936,94,1.7298975561066967e-05,97,0.0145511889132929,49,no weight
0.0520372451619896,3.592662382175271,1.0143958106352404,0.0143958496801171,0.7908932970765137,1.6354952224272484e-06,0.0148770502010595,0.0143986006903655,0.0005575310218437,-0.1119935656018367,0.0295875126894724,100,7.921382806597024e-08,74,0.0009673892776654,72,15.24608780808109,0.9281448449469478,3.070417135896313,1.0607374858843048,0.060741385689566,0.786223010815032,2.914417131015886e-05,0.0651058400294485,0.0608094419221248,0.0053386772449095,-0.1138299753010827,0.5192351495854438,93,8.272291391646189e-06,91,0.0098720016806759,44,no weight
0.0555670733388528,3.669239809298424,1.014876340457716,0.0148763779701599,0.7907004999989069,1.746468307351967e-06,0.0153509421082833,0.0148789368674709,0.0003596367346939,0.2549780444205292,0.0315914447541008,107,7.614079512539349e-08,79,0.0009547287806547,72,15.843866424980147,1.0004539872182778,2.8725200763933825,1.063122332910806,0.0631229738047017,0.7436191592767186,3.1444230113343405e-05,0.0651058400294485,0.0631337663935628,0.0477886332316846,0.1616799041833857,0.5324329101021528,101,1.3626370878961332e-06,97,0.0080214588994305,41,no weight
0.0591606097318333,2.929275755643662,1.0153500429625684,0.0153500797441794,0.7899996848217721,1.8594377511175165e-06,0.0158045747740913,0.015352512509875,0.0011284572158507,0.1321460489938685,0.0336033160205107,116,7.469221320071119e-08,64,0.0009275245730318,63,15.40942895151493,0.9469159532712326,2.833441564849984,1.0613904617464225,0.0613921472171909,0.7914293988559935,2.9752580370979115e-05,0.0646394160327544,0.0614212790408087,0.0004387843824793,0.0371975401718511,0.5371826970181791,109,3.5777790716475214e-06,99,0.006733082845505,48,no weight
0.0625422075336669,2.319949237550701,1.0157834631428986,0.0157834895271938,0.7876614207978414,1.9658216137936134e-06,0.0161573776654484,0.0157851874099864,0.0008754185414331,-0.100812962371891,0.0354296475689393,107,5.359991335706223e-08,57,0.0008064355571651,56,14.43443905391224,0.8317918125368527,2.753729371750456,1.057504521436087,0.0575077253143913,0.7858187064612279,2.6121143178871492e-05,0.0614003605001568,0.0575665840894913,0.0015058177097356,-0.0027439835921571,0.4662383703598144,112,6.7731328969880405e-06,87,0.0087984080261711,57,no weight
0.065612511504118,3.295915598862394,1.0161664478979455,0.0161664723029211,0.8008964273031882,2.0623527407559346e-06,0.0167815622747187,0.0161680063181351,0.0004263214423074,-0.3073107517357387,0.0379105878526706,99,4.96015821412991e-08,65,0.0009769875006273,57,13.216370410418682,0.698157161107245,2.8025307469421725,1.0526506029792346,0.0526548621929031,0.8203391905451267,2.1911720046374343e-05,0.0579063331872494,0.0527399529189532,0.0060952677962131,0.3187936600318211,0.4092446593677811,109,8.968121339788831e-06,65,0.01068592770308,58,no weight
0.0744336763041793,3.728596216223056,1.0171916327229154,0.0171921141002913,0.8484297374402135,2.3360142630085948e-06,0.0192765850179825,0.0172205839381836,0.0084160314584733,-0.0405273267275754,0.045130626219435,93,9.797239345941334e-07,80,0.003119207352534,54,12.802183825879986,0.653853284234521,3.1802337444903137,1.0510030462578164,0.0510047164377688,0.8754414932174922,2.0540314539515185e-05,0.0550562956346925,0.0510391336552743,0.039002049832134,0.3330884465173525,0.413699670039021,106,3.512065383751194e-06,60,0.0116203130332265,52,no weight
