0,-1,-1,-1,-1,-1,-2,-3,-2
0,-2,0,-3,1,-2,-2,-1,-2
1,-2,-1,0,0,-1,-1,-2,-3
1,-2,-2,-1,-1,-3,-1,-2,-3
5,-1,-1,-1,0,0,-1,-3,-3
5,2,-2,-1,0,-1,0,0,-2
6,0,0,-1,0,-2,-2,0,-2
6,2,0,-1,-2,-2,-2,0,-2
11,-1,-1,-1,-2,-1,-2,1,2
11,-2,-1,0,-1,-1,0,-2,0
20,-1,-1,-1,-1,0,0,-1,1
20,1,0,-1,-2,-1,-2,0,1
27,1,1,0,-1,-1,-1,1,-1
27,-2,-1,-1,-1,-4,-1,-1,0
41,-3,-2,-1,-1,-1,-1,-1,0
41,5,0,0,-1,-1,0,-2,1
49,-1,-1,0,0,0,0,2,-1
49,-1,0,-1,-4,-2,0,1,0
72,0,-2,0,0,-2,-1,0,-1
72,-7,-4,-2,0,0,-3,-2,-2
73,1,3,0,0,1,-1,-2,-2
73,-2,0,-1,1,-1,-1,-1,0
119,-2,-1,-1,0,-1,1,-2,1
119,0,-2,-1,-1,-2,1,-1,-3
121,-5,-3,0,-3,0,0,-4,0
121,0,-1,-1,0,0,-2,-1,0
124,-4,-1,1,-2,-1,-2,-3,0
124,1,0,-3,0,0,-1,0,0
125,2,-1,-5,-3,-3,-3,1,-1
125,-2,0,-11,-2,-2,-1,0,-1
130,2,0,16,0,1,-1,2,1
130,-2,-1,0,-2,0,-2,-3,-2
138,2,-1,-3,1,0,0,0,2
138,0,1,-1,-1,0,0,-1,1
146,0,0,-5,-1,-1,-2,-1,0
146,-5,-2,-1,-1,0,-3,-2,1
161,1,-1,3,2,1,-1,0,2
161,1,0,2,0,0,0,0,0
167,-1,0,-5,-1,-2,0,0,0
167,-2,-2,0,-1,-1,0,-1,0
191,-1,-1,-4,1,-2,-1,0,-3
191,0,-2,1,-1,-2,0,-2,-1
193,-2,-2,-5,-1,-2,-2,-2,-4
193,3,1,-2,-1,-1,-2,-2,0
205,0,1,0,-2,-1,-1,0,-3
205,-2,-2,-4,-2,-1,-1,0,-4
221,1,-1,0,0,-1,0,0,-1
221,-3,-2,-2,1,-3,-2,-1,-2
229,-3,-1,0,-1,-2,-1,-1,-3
229,1,1,6,0,0,-2,0,-2
235,-1,1,-7,1,-2,-2,-3,-2
235,-3,-1,-4,-3,-1,1,0,-2
259,-1,-2,5,-1,-1,-2,-1,-1
259,-5,-2,1,-3,-1,-1,-1,-1
261,1,-2,2,-1,-1,-2,0,1
261,-1,1,-1,0,-2,0,-1,-1
265,1,-2,1,2,1,1,-2,-1
265,3,-2,-2,-2,-1,1,-2,2
289,0,-1,-1,0,-1,2,-2,-1
289,-1,1,1,-2,-2,0,-2,0
290,-1,-1,-6,-2,1,-1,-2,-4
290,-1,-3,-1,0,1,-4,-1,-1
292,-2,-4,-4,0,-3,0,-2,1
292,6,1,-2,-1,-1,-1,3,1
319,1,1,1,-1,-2,-1,0,0
319,-2,-1,0,1,-3,-2,-4,-3
321,0,-1,0,-2,-1,-2,-1,-3
321,2,-1,0,-1,-1,-2,-1,-1
334,-2,-2,0,-3,-3,1,-2,2
334,2,-1,1,0,-1,0,-4,-3
336,-3,-2,-3,-1,0,0,-3,-2
336,-4,-2,-1,0,0,-2,-7,-29
