Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 11:24:02 AM
Collection Length (seconds):, 21.9105
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, 0.0162814, 0.135, -0.5263672, 0.135, -0.8652344, 0.135, 0.0683594, 0.0051923, -0.0075532, 0.135, 0.5053711, 0.135, -0.8286133, 0.135, 0.2104492, 0.0051923, -0.0072175, 0.135, 0.0219727, 0.135, -0.9492188, 0.135, 0.2910156, 0.0051923, 0.0092317, 0.135, -0.3911133, 0.135, -0.9179688, 0.135, -0.1699219, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0176242, 0.1485, -0.5292969, 0.1485, -0.8647461, 0.1485, 0.0649414, 0.0057115, -0.0062104, 0.1485, 0.4907227, 0.1485, -0.8237305, 0.1485, 0.2109375, 0.0057115, -0.0068818, 0.1485, 0.0166016, 0.1485, -0.9482422, 0.1485, 0.2885742, 0.0057115, 0.008896, 0.1485, -0.3847656, 0.1485, -0.9174805, 0.1485, -0.1743164, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0219883, 0.162, -0.5336914, 0.162, -0.8671875, 0.162, 0.0673828, 0.0062308, -0.0052033, 0.162, 0.4916992, 0.162, -0.8266602, 0.162, 0.2060547, 0.0062308, -0.0062104, 0.162, 0.0253906, 0.162, -0.9521484, 0.162, 0.2919922, 0.0062308, 0.0095674, 0.162, -0.3847656, 0.162, -0.9223633, 0.162, -0.1762695, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0276951, 0.1755, -0.5341797, 0.1755, -0.8740234, 0.1755, 0.0703125, 0.00675, -0.0041962, 0.1755, 0.4960938, 0.1755, -0.8349609, 0.1755, 0.2041016, 0.00675, -0.0062104, 0.1755, 0.0263672, 0.1755, -0.9570312, 0.1755, 0.2900391, 0.00675, 0.0092317, 0.1755, -0.3842773, 0.1755, -0.925293, 0.1755, -0.1713867, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.026688, 0.189, -0.5336914, 0.189, -0.8735352, 0.189, 0.0688477, 0.0072692, -0.0035248, 0.189, 0.496582, 0.189, -0.8364258, 0.189, 0.2104492, 0.0072692, -0.0045319, 0.189, 0.0195312, 0.189, -0.9575195, 0.189, 0.2910156, 0.0072692, 0.0105745, 0.189, -0.3867188, 0.189, -0.9326172, 0.189, -0.1655273, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0216526, 0.2025, -0.5366211, 0.2025, -0.8774414, 0.2025, 0.0712891, 0.0077885, -0.0045319, 0.2025, 0.4980469, 0.2025, -0.8393555, 0.2025, 0.2133789, 0.0077885, -0.0031891, 0.2025, 0.0307617, 0.2025, -0.9594727, 0.2025, 0.293457, 0.0077885, 0.0119173, 0.2025, -0.3920898, 0.2025, -0.9326172, 0.2025, -0.1665039, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0152743, 0.216, -0.5405273, 0.216, -0.8754883, 0.216, 0.0712891, 0.0083077, -0.0031891, 0.216, 0.4990234, 0.216, -0.8393555, 0.216, 0.2080078, 0.0083077, -0.0031891, 0.216, 0.0317383, 0.216, -0.9604492, 0.216, 0.2895508, 0.0083077, 0.0119173, 0.216, -0.3920898, 0.216, -0.9287109, 0.216, -0.1650391, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0105745, 0.2295, -0.5390625, 0.2295, -0.8740234, 0.2295, 0.0742188, 0.0088269, -0.0015106, 0.2295, 0.5024414, 0.2295, -0.8330078, 0.2295, 0.2089844, 0.0088269, -0.002182, 0.2295, 0.0249023, 0.2295, -0.9580078, 0.2295, 0.2875977, 0.0088269, 0.0109102, 0.2295, -0.3920898, 0.2295, -0.9267578, 0.2295, -0.1669922, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0083925, 0.243, -0.5375977, 0.243, -0.8754883, 0.243, 0.078125, 0.0093462, -0.0008392, 0.243, 0.5078125, 0.243, -0.8305664, 0.243, 0.2080078, 0.0093462, -0.0005035, 0.243, 0.0107422, 0.243, -0.9584961, 0.243, 0.2900391, 0.0093462, 0.0083925, 0.243, -0.3935547, 0.243, -0.9291992, 0.243, -0.1708984, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0085603, 0.2565, -0.5356445, 0.2565, -0.8735352, 0.2565, 0.0737305, 0.0098654, -0.0008392, 0.2565, 0.5092773, 0.2565, -0.8330078, 0.2565, 0.2114258, 0.0098654, -0.0020142, 0.2565, 0.0092773, 0.2565, -0.9584961, 0.2565, 0.2905273, 0.0098654, 0.0043641, 0.2565, -0.3896484, 0.2565, -0.925293, 0.2565, -0.1738281, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, 0.0119173, 0.27, -0.534668, 0.27, -0.8730469, 0.27, 0.0742188, 0.0103846, -0.0015106, 0.27, 0.5117188, 0.27, -0.8349609, 0.27, 0.2089844, 0.0103846, -0.0068818, 0.27, 0.0253906, 0.27, -0.9594727, 0.27, 0.2924805, 0.0103846, 0.0031891, 0.27, -0.3876953, 0.27, -0.9248047, 0.27, -0.1738281, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, 0.0125887, 0.2835, -0.5375977, 0.2835, -0.8735352, 0.2835, 0.0751953, 0.0109038, -0.0008392, 0.2835, 0.5058594, 0.2835, -0.8354492, 0.2835, 0.2084961, 0.0109038, -0.0095674, 0.2835, 0.0400391, 0.2835, -0.9604492, 0.2835, 0.2905273, 0.0109038, 0.0035248, 0.2835, -0.3803711, 0.2835, -0.9257812, 0.2835, -0.1694336, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, 0.008896, 0.297, -0.5463867, 0.297, -0.8701172, 0.297, 0.078125, 0.0114231, -0.0003357, 0.297, 0.5024414, 0.297, -0.8295898, 0.297, 0.2055664, 0.0114231, -0.0099031, 0.297, 0.0473633, 0.297, -0.9604492, 0.297, 0.2885742, 0.0114231, 0.0041962, 0.297, -0.371582, 0.297, -0.9291992, 0.297, -0.1669922, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, 0.0031891, 0.3105, -0.5454102, 0.3105, -0.8637695, 0.3105, 0.0756836, 0.0119423, -0.0008392, 0.3105, 0.5073242, 0.3105, -0.831543, 0.3105, 0.2055664, 0.0119423, -0.0095674, 0.3105, 0.0380859, 0.3105, -0.9536133, 0.3105, 0.2905273, 0.0119423, 0.0072175, 0.3105, -0.3779297, 0.3105, -0.9306641, 0.3105, -0.1665039, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, -0.0016785, 0.324, -0.5356445, 0.324, -0.8666992, 0.324, 0.0776367, 0.0124615, -0.0028534, 0.324, 0.5029297, 0.324, -0.8320312, 0.324, 0.1972656, 0.0124615, -0.0105745, 0.324, 0.0253906, 0.324, -0.9516602, 0.324, 0.2890625, 0.0124615, 0.0090639, 0.324, -0.387207, 0.324, -0.9287109, 0.324, -0.1625977, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, -0.0045319, 0.3375, -0.5307617, 0.3375, -0.8720703, 0.3375, 0.0771484, 0.0129808, -0.0041962, 0.3375, 0.4990234, 0.3375, -0.8305664, 0.3375, 0.1948242, 0.0129808, -0.0112459, 0.3375, 0.0141602, 0.3375, -0.953125, 0.3375, 0.2895508, 0.0129808, 0.008896, 0.3375, -0.402832, 0.3375, -0.9238281, 0.3375, -0.1669922, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.002182, 0.351, -0.5258789, 0.351, -0.878418, 0.351, 0.078125, 0.0135, -0.0038605, 0.351, 0.5043945, 0.351, -0.8320312, 0.351, 0.1987305, 0.0135, -0.0085603, 0.351, 0.0083008, 0.351, -0.9550781, 0.351, 0.2895508, 0.0135, 0.0109102, 0.351, -0.4042969, 0.351, -0.9199219, 0.351, -0.1704102, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, -0.0001678, 0.3645, -0.5390625, 0.3645, -0.8691406, 0.3645, 0.0771484, 0.0140192, -0.0050355, 0.3645, 0.5170898, 0.3645, -0.8320312, 0.3645, 0.2075195, 0.0140192, -0.0058747, 0.3645, 0.0068359, 0.3645, -0.9545898, 0.3645, 0.2924805, 0.0140192, 0.0132601, 0.3645, -0.394043, 0.3645, -0.9238281, 0.3645, -0.1757812, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, -0.0015106, 0.378, -0.534668, 0.378, -0.8681641, 0.378, 0.0698242, 0.0145385, -0.0075532, 0.378, 0.5024414, 0.378, -0.8334961, 0.378, 0.2011719, 0.0145385, -0.0052033, 0.378, 0.0136719, 0.378, -0.956543, 0.378, 0.2963867, 0.0145385, 0.0142672, 0.378, -0.3911133, 0.378, -0.9282227, 0.378, -0.1757812, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, -0.0008392, 0.3915, -0.5283203, 0.3915, -0.8774414, 0.3915, 0.0742188, 0.0150577, -0.008896, 0.3915, 0.4946289, 0.3915, -0.8344727, 0.3915, 0.203125, 0.0150577, -0.0062104, 0.3915, 0.0283203, 0.3915, -0.9570312, 0.3915, 0.2910156, 0.0150577, 0.0152743, 0.3915, -0.3779297, 0.3915, -0.9321289, 0.3915, -0.1723633, , , , , , , , , , , , , , , , , , , , , , 
0.0155769, -0.0028534, 0.405, -0.5322266, 0.405, -0.8701172, 0.405, 0.0771484, 0.0155769, -0.0104067, 0.405, 0.5024414, 0.405, -0.8339844, 0.405, 0.1928711, 0.0155769, -0.005539, 0.405, 0.0444336, 0.405, -0.9541016, 0.405, 0.2885742, 0.0155769, 0.017792, 0.405, -0.3720703, 0.405, -0.9311523, 0.405, -0.1694336, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, -0.0057069, 0.4185, -0.534668, 0.4185, -0.8671875, 0.4185, 0.0761719, 0.0160962, -0.014435, 0.4185, 0.5058594, 0.4185, -0.8339844, 0.4185, 0.1987305, 0.0160962, -0.0038605, 0.4185, 0.0400391, 0.4185, -0.9570312, 0.4185, 0.2885742, 0.0160962, 0.0216526, 0.4185, -0.3818359, 0.4185, -0.9287109, 0.4185, -0.1723633, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, -0.0045319, 0.432, -0.5307617, 0.432, -0.871582, 0.432, 0.0771484, 0.0166154, -0.0166171, 0.432, 0.5068359, 0.432, -0.831543, 0.432, 0.1982422, 0.0166154, -0.002182, 0.432, 0.0209961, 0.432, -0.9604492, 0.432, 0.2944336, 0.0166154, 0.0246738, 0.432, -0.387207, 0.432, -0.9277344, 0.432, -0.1689453, , , , , , , , , , , , , , , , , , , , , , 
