Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:48:49 PM
Collection Length (seconds):, 28.8495
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, 0.0149386, 0.135, -0.2763672, 0.135, -0.9692383, 0.135, 0.1166992, 0.0051923, -0.0109102, 0.135, 0.3305664, 0.135, -0.9296875, 0.135, -0.1870117, 0.0051923, -0.0099031, 0.135, 0.1206055, 0.135, -0.996582, 0.135, -0.0073242, 0.0051923, -0.0010071, 0.135, -0.1943359, 0.135, -0.9804688, 0.135, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0085603, 0.1485, -0.2758789, 0.1485, -0.972168, 0.1485, 0.1147461, 0.0057115, -0.0125887, 0.1485, 0.3344727, 0.1485, -0.9248047, 0.1485, -0.1875, 0.0057115, -0.0112459, 0.1485, 0.1157227, 0.1485, -0.9975586, 0.1485, -0.0063477, 0.0057115, -0.0072175, 0.1485, -0.1962891, 0.1485, -0.9760742, 0.1485, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0083925, 0.162, -0.2714844, 0.162, -0.972168, 0.162, 0.1142578, 0.0062308, -0.0132601, 0.162, 0.3422852, 0.162, -0.9257812, 0.162, -0.184082, 0.0062308, -0.0142672, 0.162, 0.1137695, 0.162, -1.0014648, 0.162, -0.0083008, 0.0062308, -0.0097353, 0.162, -0.1943359, 0.162, -0.9770508, 0.162, 0.0244141, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0112459, 0.1755, -0.2739258, 0.1755, -0.9736328, 0.1755, 0.1166992, 0.00675, -0.0135958, 0.1755, 0.3398438, 0.1755, -0.934082, 0.1755, -0.1821289, 0.00675, -0.0149386, 0.1755, 0.1274414, 0.1755, -1.0043945, 0.1755, -0.0053711, 0.00675, -0.0115816, 0.1755, -0.1904297, 0.1755, -0.9853516, 0.1755, 0.0200195, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0112459, 0.189, -0.2822266, 0.189, -0.9780273, 0.189, 0.1132812, 0.0072692, -0.0135958, 0.189, 0.3398438, 0.189, -0.9370117, 0.189, -0.1816406, 0.0072692, -0.012253, 0.189, 0.1279297, 0.189, -1.0112305, 0.189, -0.0014648, 0.0072692, -0.0132601, 0.189, -0.1821289, 0.189, -0.987793, 0.189, 0.0253906, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0132601, 0.2025, -0.2788086, 0.2025, -0.9790039, 0.2025, 0.1123047, 0.0077885, -0.0129244, 0.2025, 0.3408203, 0.2025, -0.9370117, 0.2025, -0.1811523, 0.0077885, -0.0102388, 0.2025, 0.1259766, 0.2025, -1.0068359, 0.2025, -0.0043945, 0.0077885, -0.0142672, 0.2025, -0.1845703, 0.2025, -0.9882812, 0.2025, 0.0229492, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0109102, 0.216, -0.2749023, 0.216, -0.9731445, 0.216, 0.1166992, 0.0083077, -0.0117494, 0.216, 0.3452148, 0.216, -0.9335938, 0.216, -0.1860352, 0.0083077, -0.0102388, 0.216, 0.1289062, 0.216, -1.0043945, 0.216, -0.0043945, 0.0083077, -0.0132601, 0.216, -0.1860352, 0.216, -0.9863281, 0.216, 0.0185547, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0087282, 0.2295, -0.2724609, 0.2295, -0.9746094, 0.2295, 0.1191406, 0.0088269, -0.0112459, 0.2295, 0.3452148, 0.2295, -0.9291992, 0.2295, -0.1879883, 0.0088269, -0.0109102, 0.2295, 0.1274414, 0.2295, -1.0039062, 0.2295, -0.0048828, 0.0088269, -0.008896, 0.2295, -0.1938477, 0.2295, -0.9858398, 0.2295, 0.0283203, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0112459, 0.243, -0.2714844, 0.243, -0.9755859, 0.243, 0.1206055, 0.0093462, -0.0115816, 0.243, 0.3369141, 0.243, -0.934082, 0.243, -0.1884766, 0.0093462, -0.0092317, 0.243, 0.121582, 0.243, -1.0039062, 0.243, -0.0048828, 0.0093462, -0.0035248, 0.243, -0.203125, 0.243, -0.9829102, 0.243, 0.034668, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0115816, 0.2565, -0.2729492, 0.2565, -0.9726562, 0.2565, 0.1245117, 0.0098654, -0.0125887, 0.2565, 0.3339844, 0.2565, -0.9345703, 0.2565, -0.1899414, 0.0098654, -0.0075532, 0.2565, 0.1181641, 0.2565, -1.0024414, 0.2565, -0.0073242, 0.0098654, 0.0031891, 0.2565, -0.2011719, 0.2565, -0.9833984, 0.2565, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, 0.0048676, 0.27, -0.28125, 0.27, -0.972168, 0.27, 0.1181641, 0.0103846, -0.0119173, 0.27, 0.3334961, 0.27, -0.9287109, 0.27, -0.1914062, 0.0103846, -0.0092317, 0.27, 0.1186523, 0.27, -1.0029297, 0.27, -0.0024414, 0.0103846, 0.0092317, 0.27, -0.1987305, 0.27, -0.9833984, 0.27, 0.0297852, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, 0.0025177, 0.2835, -0.2832031, 0.2835, -0.9746094, 0.2835, 0.1171875, 0.0109038, -0.012253, 0.2835, 0.3388672, 0.2835, -0.9257812, 0.2835, -0.1904297, 0.0109038, -0.0112459, 0.2835, 0.1147461, 0.2835, -1.0019531, 0.2835, 0, 0.0109038, 0.012253, 0.2835, -0.206543, 0.2835, -0.9819336, 0.2835, 0.0263672, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, 0.0065461, 0.297, -0.2768555, 0.297, -0.9770508, 0.297, 0.1191406, 0.0114231, -0.012253, 0.297, 0.3378906, 0.297, -0.9311523, 0.297, -0.1933594, 0.0114231, -0.0095674, 0.297, 0.1171875, 0.297, -1.0039062, 0.297, -0.0073242, 0.0114231, 0.0159457, 0.297, -0.1967773, 0.297, -0.9848633, 0.297, 0.0258789, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, 0.0072175, 0.3105, -0.2734375, 0.3105, -0.9799805, 0.3105, 0.1245117, 0.0119423, -0.0109102, 0.3105, 0.3378906, 0.3105, -0.9350586, 0.3105, -0.1948242, 0.0119423, -0.0072175, 0.3105, 0.1264648, 0.3105, -1.0078125, 0.3105, -0.0063477, 0.0119423, 0.0223239, 0.3105, -0.1899414, 0.3105, -0.9916992, 0.3105, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, 0.0068818, 0.324, -0.2739258, 0.324, -0.9790039, 0.324, 0.1230469, 0.0124615, -0.0105745, 0.324, 0.3461914, 0.324, -0.9360352, 0.324, -0.190918, 0.0124615, -0.0068818, 0.324, 0.1289062, 0.324, -1.0078125, 0.324, -0.0029297, 0.0124615, 0.0290379, 0.324, -0.1806641, 0.324, -0.9931641, 0.324, 0.0258789, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, 0.0078889, 0.3375, -0.2744141, 0.3375, -0.9794922, 0.3375, 0.1220703, 0.0129808, -0.0102388, 0.3375, 0.3496094, 0.3375, -0.9345703, 0.3375, -0.1875, 0.0129808, -0.0068818, 0.3375, 0.1279297, 0.3375, -1.0058594, 0.3375, -0.0073242, 0.0129808, 0.0325628, 0.3375, -0.190918, 0.3375, -0.9868164, 0.3375, 0.0224609, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.0095674, 0.351, -0.2714844, 0.351, -0.9833984, 0.351, 0.1274414, 0.0135, -0.0095674, 0.351, 0.3486328, 0.351, -0.934082, 0.351, -0.190918, 0.0135, -0.0062104, 0.351, 0.1313477, 0.351, -1.0068359, 0.351, -0.0131836, 0.0135, 0.0340734, 0.351, -0.190918, 0.351, -0.9882812, 0.351, 0.0253906, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, 0.0072175, 0.3645, -0.2724609, 0.3645, -0.9785156, 0.3645, 0.1254883, 0.0140192, -0.0099031, 0.3645, 0.3496094, 0.3645, -0.9335938, 0.3645, -0.190918, 0.0140192, -0.005539, 0.3645, 0.1318359, 0.3645, -1.0048828, 0.3645, -0.0117188, 0.0140192, 0.0374304, 0.3645, -0.1801758, 0.3645, -0.9912109, 0.3645, 0.0229492, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, 0.0045319, 0.378, -0.2753906, 0.378, -0.9765625, 0.378, 0.1210938, 0.0145385, -0.0102388, 0.378, 0.3510742, 0.378, -0.9326172, 0.378, -0.1904297, 0.0145385, -0.0028534, 0.378, 0.1196289, 0.378, -1.0078125, 0.378, -0.0097656, 0.0145385, 0.0421302, 0.378, -0.1791992, 0.378, -0.9897461, 0.378, 0.0253906, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, 0.0045319, 0.3915, -0.2773438, 0.3915, -0.980957, 0.3915, 0.1240234, 0.0150577, -0.0090639, 0.3915, 0.3520508, 0.3915, -0.9321289, 0.3915, -0.1855469, 0.0150577, -0.002182, 0.3915, 0.1162109, 0.3915, -1.0102539, 0.3915, -0.0087891, 0.0150577, 0.0414588, 0.3915, -0.1962891, 0.3915, -0.9916992, 0.3915, 0.0229492, , , , , , , , , , , , , , , , , , , , , , 
0.0155769, 0.0031891, 0.405, -0.2802734, 0.405, -0.9829102, 0.405, 0.125, 0.0155769, -0.0082246, 0.405, 0.3427734, 0.405, -0.934082, 0.405, -0.1899414, 0.0155769, -0.0018463, 0.405, 0.125, 0.405, -1.0141602, 0.405, -0.0058594, 0.0155769, 0.0360876, 0.405, -0.1982422, 0.405, -0.996582, 0.405, 0.0224609, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, 0.0010071, 0.4185, -0.2866211, 0.4185, -0.9824219, 0.4185, 0.121582, 0.0160962, -0.0078889, 0.4185, 0.3393555, 0.4185, -0.9379883, 0.4185, -0.1904297, 0.0160962, -0.002182, 0.4185, 0.1235352, 0.4185, -1.0141602, 0.4185, -0.0029297, 0.0160962, 0.0303807, 0.4185, -0.1992188, 0.4185, -0.9951172, 0.4185, 0.0263672, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, 0.0035248, 0.432, -0.2827148, 0.432, -0.9848633, 0.432, 0.1254883, 0.0166154, -0.0090639, 0.432, 0.3486328, 0.432, -0.9370117, 0.432, -0.1899414, 0.0166154, -0.0030213, 0.432, 0.1152344, 0.432, -1.0126953, 0.432, -0.0058594, 0.0166154, 0.0276951, 0.432, -0.1977539, 0.432, -0.9892578, 0.432, 0.0258789, , , , , , , , , , , , , , , , , , , , , , 
0.0171346, 0.0112459, 0.4455, -0.2753906, 0.4455, -0.9799805, 0.4455, 0.1269531, 0.0171346, -0.0085603, 0.4455, 0.3500977, 0.4455, -0.9331055, 0.4455, -0.1870117, 0.0171346, -0.0035248, 0.4455, 0.1206055, 0.4455, -1.0112305, 0.4455, -0.0092773, 0.0171346, 0.0258488, 0.4455, -0.1928711, 0.4455, -0.9902344, 0.4455, 0.0214844, , , , , , , , , , , , , , , , , , , , , , 
