Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_58_930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,-14.0,-1.0,-2.0,5.0,-3.0,-7.0,18.0,-21.0,0.62890625,-0.47021484375,0.4140625,-25.000000000000004,-23.231707317073173,-6.2804878048780495
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_674,-38.0,-5.0,-5.0,-5.0,3.0,-11.0,-75.0,-29.0,0.80517578125,-0.39453125,0.39306640625,-38.47560975609756,-24.878048780487806,-16.646341463414636
11_35_59_674,-10.0,5.0,-1.0,1.0,-3.0,9.0,65.0,16.0,0.62890625,-0.47021484375,0.4140625,-25.000000000000004,-23.231707317073173,-6.2804878048780495
11_35_59_674,-38.0,-5.0,-5.0,-5.0,3.0,-11.0,-75.0,-29.0,0.62890625,-0.47021484375,0.4140625,-25.000000000000004,-23.231707317073173,-6.2804878048780495
11_35_59_674,-10.0,5.0,-1.0,1.0,-3.0,9.0,65.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_674,-18.0,-16.0,-12.0,-13.0,-6.0,-8.0,-13.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0
11_35_59_674,-30.0,2.0,3.0,7.0,7.0,6.0,-55.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0
