,MVC
channel_1,21.853278624923078
channel_2,17.801542724315134
channel_3,15.08936747234569
channel_4,42.72497096280175
channel_5,66.32731732458458
channel_6,60.89436589736231
channel_7,26.191838945968257
channel_8,27.637403280693555
