device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.4444,0.4583,0.4444,0.3485
CV,test_1,trasp,0.5556,0.6667,0.5556,0.5222
Combined,test_1,trasp,0.5556,0.8095,0.5556,0.5333
Myo,test_1,opaq,0.4444,0.4583,0.4444,0.3485
CV,test_1,opaq,0.2222,0.0833,0.2222,0.1212
Combined,test_1,opaq,0.5556,0.4762,0.5556,0.4667
Myo,test_2,trasp,0.5000,0.3333,0.5000,0.3889
CV,test_2,trasp,0.5000,0.5000,0.5000,0.4444
Combined,test_2,trasp,0.6667,0.4444,0.6667,0.5333
Myo,test_2,opaq,0.5000,0.3333,0.5000,0.4000
CV,test_2,opaq,0.5000,0.4667,0.5000,0.4127
Combined,test_2,opaq,0.8333,0.8889,0.8333,0.8222
Myo,test,test_1,0.4444,0.4583,0.4444,0.3485
CV,test,test_1,0.3889,0.4206,0.3889,0.3705
Combined,test,test_1,0.5556,0.8095,0.5556,0.5175
Myo,test,test_2,0.5000,0.3238,0.5000,0.3906
CV,test,test_2,0.5000,0.6444,0.5000,0.4889
Combined,test,test_2,0.7500,0.8056,0.7500,0.7389
Myo,box,trasp,0.4667,0.6389,0.4667,0.4024
CV,box,trasp,0.5333,0.5556,0.5333,0.4841
Combined,box,trasp,0.6000,0.7500,0.6000,0.5556
Myo,box,opaq,0.4667,0.5960,0.4667,0.4028
CV,box,opaq,0.3333,0.2692,0.3333,0.2434
Combined,box,opaq,0.6667,0.8333,0.6667,0.6296
Myo,total,total,0.4667,0.6116,0.4667,0.4020
CV,total,total,0.4333,0.5000,0.4333,0.4177
Combined,total,total,0.6333,0.7667,0.6333,0.6222
