device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.4444,0.4583,0.4444,0.3485
CV,test_1,trasp,0.4444,0.4167,0.4444,0.4286
Combined,test_1,trasp,0.8889,0.9167,0.8889,0.8857
Myo,test_1,opaq,0.4444,0.4583,0.4444,0.3485
CV,test_1,opaq,0.3333,0.2500,0.3333,0.2857
Combined,test_1,opaq,0.6667,0.8333,0.6667,0.6556
Myo,test_2,trasp,0.3333,0.1333,0.3333,0.1905
CV,test_2,trasp,0.3333,0.1333,0.3333,0.1905
Combined,test_2,trasp,0.3333,0.1333,0.3333,0.1905
Myo,test_2,opaq,0.5000,0.3333,0.5000,0.3889
CV,test_2,opaq,0.1667,0.0667,0.1667,0.0952
Combined,test_2,opaq,0.5000,0.3333,0.5000,0.3889
Myo,test,test_1,0.4444,0.7917,0.4444,0.3723
CV,test,test_1,0.3889,0.4306,0.3889,0.3984
Combined,test,test_1,0.7778,0.8667,0.7778,0.7833
Myo,test,test_2,0.4167,0.2593,0.4167,0.3004
CV,test,test_2,0.2500,0.1778,0.2500,0.2074
Combined,test,test_2,0.4167,0.2593,0.4167,0.3004
Myo,box,trasp,0.4000,0.2949,0.4000,0.2804
CV,box,trasp,0.4000,0.4286,0.4000,0.4074
Combined,box,trasp,0.6667,0.7407,0.6667,0.6548
Myo,box,opaq,0.4667,0.6389,0.4667,0.4024
CV,box,opaq,0.2667,0.1778,0.2667,0.2095
Combined,box,opaq,0.6000,0.7500,0.6000,0.5556
Myo,total,total,0.4333,0.6333,0.4333,0.3463
CV,total,total,0.3333,0.3859,0.3333,0.3402
Combined,total,total,0.6333,0.7469,0.6333,0.6164
