device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.4444,0.4583,0.4444,0.3485
CV,test_1,trasp,0.5556,0.3667,0.5556,0.4405
Combined,test_1,trasp,0.7778,0.8667,0.7778,0.7500
Myo,test_1,opaq,0.4444,0.3095,0.4444,0.3333
CV,test_1,opaq,0.0000,0.0000,0.0000,0.0000
Combined,test_1,opaq,0.4444,0.3095,0.4444,0.3333
Myo,test_2,trasp,0.6667,0.5000,0.6667,0.5556
CV,test_2,trasp,0.5000,0.3333,0.5000,0.4000
Combined,test_2,trasp,0.6667,0.5000,0.6667,0.5556
Myo,test_2,opaq,0.6667,0.5000,0.6667,0.5556
CV,test_2,opaq,0.6667,0.4444,0.6667,0.5333
Combined,test_2,opaq,0.6667,0.5000,0.6667,0.5556
Myo,test,test_1,0.4444,0.3556,0.4444,0.3386
CV,test,test_1,0.2778,0.2667,0.2778,0.2652
Combined,test,test_1,0.6111,0.7222,0.6111,0.5926
Myo,test,test_2,0.6667,0.5000,0.6667,0.5556
CV,test,test_2,0.5833,0.3889,0.5833,0.4667
Combined,test,test_2,0.6667,0.5000,0.6667,0.5556
Myo,box,trasp,0.5333,0.4722,0.5333,0.4461
CV,box,trasp,0.5333,0.5016,0.5333,0.5056
Combined,box,trasp,0.7333,0.8519,0.7333,0.7381
Myo,box,opaq,0.5333,0.4015,0.5333,0.4306
CV,box,opaq,0.2667,0.1852,0.2667,0.2165
Combined,box,opaq,0.5333,0.4015,0.5333,0.4306
Myo,total,total,0.5333,0.4306,0.5333,0.4373
CV,total,total,0.4000,0.4361,0.4000,0.3924
Combined,total,total,0.6333,0.7857,0.6333,0.6114
