Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_28_533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,-6.0,-1.0,-3.0,-1.0,-8.0,1.0,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,-3.0,-3.0,-3.0,3.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,-2.0,-1.0,6.0,-5.0,5.0,-5.0,3.0,4.0,0.94140625,-0.15625,0.302734375,3.5975609756097566,0.1829268292682927,1.1585365853658538
11_34_29_838,1.0,-4.0,2.0,-2.0,-6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,-6.0,-1.0,-3.0,-1.0,-8.0,1.0,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,-3.0,-3.0,-3.0,3.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,-6.0,-1.0,-3.0,-1.0,-8.0,1.0,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,-3.0,-3.0,-3.0,3.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,-2.0,0.0,-3.0,-2.0,-4.0,0.0,3.0,-6.0,0.953125,-0.1845703125,0.2861328125,6.585365853658537,1.4634146341463417,1.0975609756097562
11_34_29_891,0.0,1.0,-1.0,2.0,-1.0,-2.0,-2.0,-1.0,0.951171875,-0.18603515625,0.2802734375,1.6463414634146343,0.6097560975609757,0.9756097560975611
11_34_29_891,2.0,-2.0,-8.0,-2.0,-7.0,0.0,-3.0,-4.0,0.93310546875,-0.1640625,0.31787109375,2.073170731707317,0.9756097560975611,1.1585365853658538
11_34_29_891,-2.0,2.0,-4.0,-3.0,2.0,-3.0,1.0,-3.0,0.94140625,-0.15625,0.302734375,3.5975609756097566,0.1829268292682927,1.1585365853658538
11_34_29_891,0.0,-3.0,0.0,-2.0,-5.0,-5.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,0.0,3.0,-4.0,1.0,2.0,0.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,3.0,1.0,-1.0,-3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,2.0,3.0,0.0,3.0,-5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,1.0,4.0,8.0,-7.0,0.0,1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_891,-3.0,-7.0,-15.0,-4.0,-1.0,1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_937,2.0,-1.0,-6.0,5.0,-9.0,5.0,-3.0,-4.0,0.99609375,-0.1142578125,0.2919921875,0.6097560975609757,9.634146341463415,0.9146341463414634
11_34_29_937,-2.0,-9.0,2.0,-2.0,19.0,2.0,-16.0,14.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_29_937,2.0,0.0,-1.0,-3.0,1.0,-4.0,1.0,-4.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_29_937,-2.0,2.0,-5.0,-4.0,1.0,-2.0,4.0,-1.0,0.953125,-0.1845703125,0.2861328125,6.585365853658537,1.4634146341463417,1.0975609756097562
11_34_29_937,-2.0,0.0,-3.0,-2.0,-4.0,0.0,3.0,-6.0,0.951171875,-0.18603515625,0.2802734375,1.6463414634146343,0.6097560975609757,0.9756097560975611
11_34_29_937,0.0,1.0,-1.0,2.0,-1.0,-2.0,-2.0,-1.0,0.93310546875,-0.1640625,0.31787109375,2.073170731707317,0.9756097560975611,1.1585365853658538
11_34_29_937,2.0,-2.0,-8.0,-2.0,-7.0,0.0,-3.0,-4.0,0.94140625,-0.15625,0.302734375,3.5975609756097566,0.1829268292682927,1.1585365853658538
11_34_29_937,-2.0,2.0,-4.0,-3.0,2.0,-3.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_937,0.0,-3.0,0.0,-2.0,-5.0,-5.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_937,0.0,3.0,-4.0,1.0,2.0,0.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_29_997,-3.0,6.0,-3.0,-6.0,-8.0,-2.0,3.0,-3.0,0.48193359375,-0.2578125,-0.18408203125,-2.7439024390243905,10.060975609756099,1.3414634146341464
11_34_29_997,-1.0,-16.0,7.0,-13.0,42.0,7.0,-12.0,21.0,0.3408203125,-0.22705078125,-0.14453125,-1.829268292682927,11.219512195121952,-0.853658536585366
11_34_29_997,0.0,2.0,-7.0,-3.0,-9.0,-3.0,3.0,-6.0,0.99609375,-0.1142578125,0.2919921875,0.6097560975609757,9.634146341463415,0.9146341463414634
11_34_29_997,1.0,-17.0,5.0,-8.0,36.0,5.0,-13.0,15.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_29_997,-2.0,7.0,-3.0,8.0,-11.0,1.0,0.0,-7.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_29_997,0.0,-9.0,15.0,-5.0,26.0,2.0,-7.0,12.0,0.953125,-0.1845703125,0.2861328125,6.585365853658537,1.4634146341463417,1.0975609756097562
11_34_29_997,-4.0,-3.0,-3.0,-3.0,-1.0,-3.0,0.0,-2.0,0.951171875,-0.18603515625,0.2802734375,1.6463414634146343,0.6097560975609757,0.9756097560975611
11_34_29_997,4.0,-18.0,2.0,-5.0,36.0,6.0,-9.0,22.0,0.93310546875,-0.1640625,0.31787109375,2.073170731707317,0.9756097560975611,1.1585365853658538
11_34_29_997,-3.0,-12.0,-6.0,0.0,-18.0,-3.0,2.0,-8.0,0.94140625,-0.15625,0.302734375,3.5975609756097566,0.1829268292682927,1.1585365853658538
11_34_29_997,2.0,4.0,16.0,-2.0,23.0,1.0,-4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_30_038,-4.0,3.0,-8.0,13.0,-16.0,-2.0,3.0,-12.0,0.48193359375,-0.2578125,-0.18408203125,-2.7439024390243905,10.060975609756099,1.3414634146341464
11_34_30_038,1.0,-20.0,8.0,10.0,35.0,4.0,-16.0,15.0,0.3408203125,-0.22705078125,-0.14453125,-1.829268292682927,11.219512195121952,-0.853658536585366
11_34_30_038,-3.0,6.0,-3.0,-6.0,-8.0,-2.0,3.0,-3.0,0.99609375,-0.1142578125,0.2919921875,0.6097560975609757,9.634146341463415,0.9146341463414634
11_34_30_038,-1.0,-16.0,7.0,-13.0,42.0,7.0,-12.0,21.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_30_038,0.0,2.0,-7.0,-3.0,-9.0,-3.0,3.0,-6.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_30_038,1.0,-17.0,5.0,-8.0,36.0,5.0,-13.0,15.0,0.953125,-0.1845703125,0.2861328125,6.585365853658537,1.4634146341463417,1.0975609756097562
11_34_30_038,-2.0,7.0,-3.0,8.0,-11.0,1.0,0.0,-7.0,0.951171875,-0.18603515625,0.2802734375,1.6463414634146343,0.6097560975609757,0.9756097560975611
11_34_30_038,0.0,-9.0,15.0,-5.0,26.0,2.0,-7.0,12.0,0.93310546875,-0.1640625,0.31787109375,2.073170731707317,0.9756097560975611,1.1585365853658538
11_34_30_038,-4.0,-3.0,-3.0,-3.0,-1.0,-3.0,0.0,-2.0,0.94140625,-0.15625,0.302734375,3.5975609756097566,0.1829268292682927,1.1585365853658538
11_34_30_038,4.0,-18.0,2.0,-5.0,36.0,6.0,-9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
11_34_30_111,-1.0,10.0,-1.0,-5.0,-10.0,-4.0,3.0,-13.0,0.794921875,-0.27734375,-0.04052734375,8.353658536585366,6.402439024390245,0.48780487804878053
11_34_30_111,0.0,-24.0,10.0,-6.0,34.0,4.0,-9.0,22.0,0.48193359375,-0.2578125,-0.18408203125,-2.7439024390243905,10.060975609756099,1.3414634146341464
11_34_30_111,-4.0,3.0,-8.0,13.0,-16.0,-2.0,3.0,-12.0,0.3408203125,-0.22705078125,-0.14453125,-1.829268292682927,11.219512195121952,-0.853658536585366
11_34_30_111,1.0,-20.0,8.0,10.0,35.0,4.0,-16.0,15.0,0.99609375,-0.1142578125,0.2919921875,0.6097560975609757,9.634146341463415,0.9146341463414634
11_34_30_111,-3.0,6.0,-3.0,-6.0,-8.0,-2.0,3.0,-3.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_30_111,-1.0,-16.0,7.0,-13.0,42.0,7.0,-12.0,21.0,0.96240234375,-0.1396484375,0.29443359375,6.890243902439025,6.951219512195123,0.7926829268292683
11_34_30_111,0.0,2.0,-7.0,-3.0,-9.0,-3.0,3.0,-6.0,0.953125,-0.1845703125,0.2861328125,6.585365853658537,1.4634146341463417,1.0975609756097562
11_34_30_111,1.0,-17.0,5.0,-8.0,36.0,5.0,-13.0,15.0,0.951171875,-0.18603515625,0.2802734375,1.6463414634146343,0.6097560975609757,0.9756097560975611
11_34_30_111,-2.0,7.0,-3.0,8.0,-11.0,1.0,0.0,-7.0,0.93310546875,-0.1640625,0.31787109375,2.073170731707317,0.9756097560975611,1.1585365853658538
