device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.6667,0.8333,0.6667,0.6556
CV,test_1,trasp,0.6667,0.8333,0.6667,0.6556
Combined,test_1,trasp,1.0000,1.0000,1.0000,1.0000
Myo,test_1,opaq,0.6667,0.5000,0.6667,0.5556
CV,test_1,opaq,0.2222,0.0833,0.2222,0.1212
Combined,test_1,opaq,0.6667,0.5000,0.6667,0.5556
Myo,test_2,trasp,0.6667,0.7222,0.6667,0.6556
CV,test_2,trasp,0.3333,0.3333,0.3333,0.3333
Combined,test_2,trasp,0.8333,0.8889,0.8333,0.8222
Myo,test_2,opaq,0.6667,0.7222,0.6667,0.6556
CV,test_2,opaq,0.3333,0.2222,0.3333,0.2667
Combined,test_2,opaq,0.6667,0.7222,0.6667,0.6556
Myo,test,test_1,0.6667,0.8333,0.6667,0.6205
CV,test,test_1,0.4444,0.6190,0.4444,0.4167
Combined,test,test_1,0.8333,0.8889,0.8333,0.8222
Myo,test,test_2,0.6667,0.6722,0.6667,0.6627
CV,test,test_2,0.3333,0.3667,0.3333,0.3333
Combined,test,test_2,0.7500,0.7500,0.7500,0.7500
Myo,box,trasp,0.6667,0.7667,0.6667,0.6623
CV,box,trasp,0.5333,0.5972,0.5333,0.5427
Combined,box,trasp,0.9333,0.9444,0.9333,0.9327
Myo,box,opaq,0.6667,0.6852,0.6667,0.6296
CV,box,opaq,0.2667,0.1742,0.2667,0.1991
Combined,box,opaq,0.6667,0.6852,0.6667,0.6296
Myo,total,total,0.6667,0.7228,0.6667,0.6458
CV,total,total,0.4000,0.4981,0.4000,0.3984
Combined,total,total,0.8000,0.8165,0.8000,0.7962
