0,-4,-4,4,2,1,-1,-3,-5,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
0,-2,2,0,-2,0,-1,-2,6,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
2,1,3,-7,-2,-1,-1,0,-2,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
2,0,-2,5,2,0,-1,-2,-10,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
3,-3,2,-15,-2,3,1,-1,7,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
3,-3,11,0,0,-3,-1,-1,-6,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
13,-3,-49,-8,-1,4,-4,1,2,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
13,0,8,-3,-1,-4,-5,-1,2,0.290039,0.536133,0.700684,2.875,-0.0625,-3.625,0.63526,-0.31647,1.91859
14,2,8,14,1,-1,0,-1,0,0.296387,0.500977,0.694824,-5.0625,-0.6875,1.125,0.633247,-0.317217,1.91884
14,2,4,16,0,1,0,-1,-2,0.296387,0.500977,0.694824,-5.0625,-0.6875,1.125,0.633247,-0.317217,1.91884
18,1,8,-27,-3,-5,-3,-1,-3,0.296387,0.500977,0.694824,-5.0625,-0.6875,1.125,0.633247,-0.317217,1.91884
18,3,-6,13,-1,-3,-1,-2,0,0.296387,0.500977,0.694824,-5.0625,-0.6875,1.125,0.633247,-0.317217,1.91884
33,-3,-3,-11,-2,1,0,-1,-2,0.290527,0.48877,0.687012,0.6875,1,-1.375,0.633303,-0.31697,1.91863
33,-2,4,15,3,1,-1,-3,1,0.290527,0.48877,0.687012,0.6875,1,-1.375,0.633303,-0.31697,1.91863
41,-4,6,0,-2,-1,-1,0,-8,0.290527,0.48877,0.687012,0.6875,1,-1.375,0.633303,-0.31697,1.91863
41,-1,-4,-5,-2,2,-4,-1,3,0.290527,0.48877,0.687012,0.6875,1,-1.375,0.633303,-0.31697,1.91863
49,-4,0,-2,-3,-4,-1,-1,-1,0.288574,0.498535,0.702637,0.9375,1.6875,-0.4375,0.63323,-0.316633,1.91908
49,2,-8,-3,3,1,-2,0,0,0.288574,0.498535,0.702637,0.9375,1.6875,-0.4375,0.63323,-0.316633,1.91908
65,-5,3,-5,-2,-3,2,0,-1,0.288574,0.498535,0.702637,0.9375,1.6875,-0.4375,0.63323,-0.316633,1.91908
65,-5,-7,-5,-4,-2,0,1,-2,0.288574,0.498535,0.702637,0.9375,1.6875,-0.4375,0.63323,-0.316633,1.91908
72,9,7,27,-2,-4,-2,-1,0,0.279297,0.51709,0.693359,1.875,1.625,-0.0625,0.633902,-0.316082,1.91941
72,-9,0,-10,-1,4,-2,-1,-3,0.279297,0.51709,0.693359,1.875,1.625,-0.0625,0.633902,-0.316082,1.91941
85,9,0,-7,-3,-1,-2,-1,1,0.273438,0.52002,0.696289,2.5625,1.5,-0.4375,0.634942,-0.315259,1.91958
85,14,3,7,-3,-1,-1,-1,0,0.273438,0.52002,0.696289,2.5625,1.5,-0.4375,0.634942,-0.315259,1.91958
126,3,-3,-29,-4,-4,-2,1,-1,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
126,5,1,10,4,0,0,2,-1,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
127,-12,1,9,0,3,0,-1,-2,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
127,17,0,-1,0,-1,1,-1,3,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
130,2,-13,-16,-1,-1,1,-1,-2,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
130,-6,11,5,-8,-3,-2,-1,-2,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
131,14,23,-20,1,1,-1,-1,0,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
131,-14,-28,5,-3,-2,-1,0,-1,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
138,-5,4,-3,-2,-2,-4,-2,0,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
138,7,-12,-3,-1,-2,-1,1,0,0.275879,0.503418,0.694336,-0.875,1.25,-0.6875,0.634113,-0.314189,1.91968
153,-4,9,9,0,-6,-1,-1,-3,0.289551,0.502441,0.694336,0.8125,1.3125,-0.9375,0.634135,-0.313857,1.91975
153,-5,10,4,-1,2,-2,-1,-2,0.289551,0.502441,0.694336,0.8125,1.3125,-0.9375,0.634135,-0.313857,1.91975
161,1,-5,-4,0,-3,0,0,-2,0.289551,0.502441,0.694336,0.8125,1.3125,-0.9375,0.634135,-0.313857,1.91975
161,-2,-4,-8,-4,-3,-3,0,0,0.289551,0.502441,0.694336,0.8125,1.3125,-0.9375,0.634135,-0.313857,1.91975
168,-6,4,23,1,-4,0,0,4,0.281738,0.508301,0.701172,1.25,1.8125,-0.4375,0.63437,-0.31329,1.92012
168,19,-2,-15,-1,1,1,-3,0,0.281738,0.508301,0.701172,1.25,1.8125,-0.4375,0.63437,-0.31329,1.92012
176,-5,-5,5,-1,1,-1,-2,-4,0.281738,0.508301,0.701172,1.25,1.8125,-0.4375,0.63437,-0.31329,1.92012
176,4,3,-5,-1,1,1,0,-3,0.281738,0.508301,0.701172,1.25,1.8125,-0.4375,0.63437,-0.31329,1.92012
199,-6,-14,-5,3,1,-2,-4,-2,0.266602,0.528809,0.703613,1.3125,0.5625,-0.375,0.635041,-0.31268,1.92011
199,-6,-4,28,-1,0,-1,0,-1,0.266602,0.528809,0.703613,1.3125,0.5625,-0.375,0.635041,-0.31268,1.92011
200,-1,16,-9,0,0,-3,-1,0,0.266602,0.528809,0.703613,1.3125,0.5625,-0.375,0.635041,-0.31268,1.92011
200,1,-6,-8,2,2,0,1,-3,0.266602,0.528809,0.703613,1.3125,0.5625,-0.375,0.635041,-0.31268,1.92011
212,10,-7,3,1,1,0,-1,2,0.276855,0.516113,0.696289,-2.0625,-0.3125,-0.125,0.634477,-0.312689,1.91995
212,-2,9,6,3,-3,1,-2,0,0.276855,0.516113,0.696289,-2.0625,-0.3125,-0.125,0.634477,-0.312689,1.91995
220,4,8,9,-2,-3,1,0,-2,0.276855,0.516113,0.696289,-2.0625,-0.3125,-0.125,0.634477,-0.312689,1.91995
220,-13,-6,-15,-4,3,-1,-2,-1,0.276855,0.516113,0.696289,-2.0625,-0.3125,-0.125,0.634477,-0.312689,1.91995
237,1,-4,-1,-2,-3,-3,-2,-1,0.283203,0.49707,0.692383,-1.625,-0.1875,-0.125,0.633685,-0.312885,1.91993
237,-7,-2,-12,-2,1,1,0,0,0.283203,0.49707,0.692383,-1.625,-0.1875,-0.125,0.633685,-0.312885,1.91993
238,-13,-6,4,-3,2,-2,0,0,0.283203,0.49707,0.692383,-1.625,-0.1875,-0.125,0.633685,-0.312885,1.91993
238,24,4,2,2,-2,-3,-2,1,0.283203,0.49707,0.692383,-1.625,-0.1875,-0.125,0.633685,-0.312885,1.91993
266,24,8,-6,-6,-2,0,0,-1,0.281738,0.500977,0.695801,0.6875,0.875,-0.125,0.633685,-0.312885,1.91993
266,-8,2,-4,-1,-2,-2,-1,0,0.281738,0.500977,0.695801,0.6875,0.875,-0.125,0.633685,-0.312885,1.91993
268,7,2,0,1,-3,0,-2,-5,0.274902,0.51123,0.70166,1.375,1.3125,-0.4375,0.633903,-0.31228,1.92013
268,4,-8,0,-1,-4,-2,-2,-2,0.274902,0.51123,0.70166,1.375,1.3125,-0.4375,0.633903,-0.31228,1.92013
272,-4,-4,-11,-2,0,0,0,-2,0.274902,0.51123,0.70166,1.375,1.3125,-0.4375,0.633903,-0.31228,1.92013
272,1,8,0,0,2,-1,1,-1,0.274902,0.51123,0.70166,1.375,1.3125,-0.4375,0.633903,-0.31228,1.92013
282,-6,-9,-5,-3,-4,-2,0,-2,0.269531,0.52002,0.695312,0.4375,0.4375,-0.9375,0.634042,-0.312194,1.92012
282,-2,3,1,-2,1,-3,-2,0,0.269531,0.52002,0.695312,0.4375,0.4375,-0.9375,0.634042,-0.312194,1.92012
296,-7,-4,0,2,-3,0,1,0,0.269531,0.52002,0.695312,0.4375,0.4375,-0.9375,0.634042,-0.312194,1.92012
296,-7,-4,4,1,-1,-2,-3,-2,0.269531,0.52002,0.695312,0.4375,0.4375,-0.9375,0.634042,-0.312194,1.92012
310,0,-1,-9,1,2,-1,-1,4,0.277344,0.50293,0.699219,-1.125,0.1875,-0.5625,0.633507,-0.312075,1.92016
310,-2,0,6,0,-5,0,-2,-3,0.277344,0.50293,0.699219,-1.125,0.1875,-0.5625,0.633507,-0.312075,1.92016
319,-5,-7,-16,-3,1,1,-2,1,0.277344,0.50293,0.699219,-1.125,0.1875,-0.5625,0.633507,-0.312075,1.92016
319,-4,3,10,2,-5,-2,-1,-2,0.277344,0.50293,0.699219,-1.125,0.1875,-0.5625,0.633507,-0.312075,1.92016
320,1,4,10,4,1,-2,0,0,0.28418,0.506348,0.698242,-0.9375,0.5,-0.75,0.633507,-0.312075,1.92016
320,-19,-14,-8,-3,-4,-2,-3,1,0.28418,0.506348,0.698242,-0.9375,0.5,-0.75,0.633507,-0.312075,1.92016
349,4,1,-16,-5,1,0,0,0,0.28418,0.506348,0.698242,-0.9375,0.5,-0.75,0.633507,-0.312075,1.92016
349,4,-2,5,0,2,-2,-1,-2,0.28418,0.506348,0.698242,-0.9375,0.5,-0.75,0.633507,-0.312075,1.92016
351,-9,0,9,-5,-6,-2,-1,-3,0.281738,0.51416,0.702148,0,1.3125,-0.5625,0.633336,-0.311538,1.92024
351,-1,5,6,4,5,1,-1,0,0.281738,0.51416,0.702148,0,1.3125,-0.5625,0.633336,-0.311538,1.92024
355,3,-4,16,1,0,-2,-1,-1,0.281738,0.51416,0.702148,0,1.3125,-0.5625,0.633336,-0.311538,1.92024
355,-9,-1,-13,-2,-2,1,-4,-8,0.281738,0.51416,0.702148,0,1.3125,-0.5625,0.633336,-0.311538,1.92024
364,9,-7,-7,-2,-2,-2,0,-1,0.279297,0.506348,0.70166,0.0625,1.75,-0.25,0.633091,-0.311142,1.92064
364,-6,-2,-3,-5,-3,-1,-2,0,0.279297,0.506348,0.70166,0.0625,1.75,-0.25,0.633091,-0.311142,1.92064
379,-5,-2,4,0,-4,-1,-2,-1,0.279297,0.506348,0.70166,0.0625,1.75,-0.25,0.633091,-0.311142,1.92064
379,1,-1,-18,-5,1,0,-1,-2,0.279297,0.506348,0.70166,0.0625,1.75,-0.25,0.633091,-0.311142,1.92064
380,1,6,-8,0,0,-1,2,0,0.265137,0.504883,0.711426,0.9375,1.3125,-0.125,0.632961,-0.310311,1.92096
380,1,-6,-16,-3,0,-3,-1,-6,0.265137,0.504883,0.711426,0.9375,1.3125,-0.125,0.632961,-0.310311,1.92096
401,-5,15,10,1,-2,-3,-1,1,0.265137,0.504883,0.711426,0.9375,1.3125,-0.125,0.632961,-0.310311,1.92096
401,11,-34,-1,0,0,-1,-2,0,0.265137,0.504883,0.711426,0.9375,1.3125,-0.125,0.632961,-0.310311,1.92096
403,-15,-2,-7,-2,0,-3,-1,2,0.264648,0.51123,0.703613,1.875,0.375,-0.25,0.633481,-0.309847,1.92117
403,0,-3,-16,0,0,0,1,2,0.264648,0.51123,0.703613,1.875,0.375,-0.25,0.633481,-0.309847,1.92117
424,-2,4,-5,0,-5,-2,-1,-3,0.264648,0.51123,0.703613,1.875,0.375,-0.25,0.633481,-0.309847,1.92117
424,0,6,8,3,1,0,1,1,0.264648,0.51123,0.703613,1.875,0.375,-0.25,0.633481,-0.309847,1.92117
425,15,2,-10,1,2,0,-2,0,0.274902,0.51123,0.70166,1.3125,-0.0625,-0.375,0.633883,-0.309719,1.92107
425,-4,3,9,0,-1,1,0,-3,0.274902,0.51123,0.70166,1.3125,-0.0625,-0.375,0.633883,-0.309719,1.92107
439,-13,-3,10,-3,-1,1,0,-3,0.274902,0.51123,0.70166,1.3125,-0.0625,-0.375,0.633883,-0.309719,1.92107
439,1,10,-13,-1,-3,-1,-1,-6,0.274902,0.51123,0.70166,1.3125,-0.0625,-0.375,0.633883,-0.309719,1.92107
440,-3,-9,12,-1,-2,-1,-1,-4,0.271973,0.516113,0.705566,1,-0.125,-0.375,0.634286,-0.309591,1.92098
440,-2,-3,7,-4,-5,-2,-1,0,0.271973,0.516113,0.705566,1,-0.125,-0.375,0.634286,-0.309591,1.92098
462,-1,1,-6,3,1,0,-3,-2,0.271973,0.516113,0.705566,1,-0.125,-0.375,0.634286,-0.309591,1.92098
462,-12,-5,-7,-4,-5,-3,2,1,0.271973,0.516113,0.705566,1,-0.125,-0.375,0.634286,-0.309591,1.92098
463,6,4,11,-1,0,-4,-2,0,0.272949,0.507324,0.701172,0.3125,-0.625,-0.5,0.634189,-0.309489,1.92099
463,2,5,-5,3,-6,-1,-1,-1,0.272949,0.507324,0.701172,0.3125,-0.625,-0.5,0.634189,-0.309489,1.92099
475,18,18,14,-2,3,-3,-3,2,0.272949,0.507324,0.701172,0.3125,-0.625,-0.5,0.634189,-0.309489,1.92099
475,1,-40,-22,-2,0,0,-1,0,0.272949,0.507324,0.701172,0.3125,-0.625,-0.5,0.634189,-0.309489,1.92099
484,-10,-1,0,-4,-2,0,-1,-2,0.284668,0.507812,0.697266,0,-0.8125,-0.4375,0.634189,-0.309489,1.92099
484,-2,-3,-17,-4,0,0,0,-1,0.284668,0.507812,0.697266,0,-0.8125,-0.4375,0.634189,-0.309489,1.92099
499,4,2,0,1,1,-1,0,1,0.284668,0.507812,0.697266,0,-0.8125,-0.4375,0.634189,-0.309489,1.92099
499,-15,8,14,0,-2,-2,-2,1,0.284668,0.507812,0.697266,0,-0.8125,-0.4375,0.634189,-0.309489,1.92099
500,8,6,-8,-6,0,0,-1,-1,0.285156,0.507324,0.693359,0.4375,-0.375,0.0625,0.634178,-0.309655,1.92095
500,12,6,13,2,0,0,0,0,0.285156,0.507324,0.693359,0.4375,-0.375,0.0625,0.634178,-0.309655,1.92095
522,-8,-15,-17,-1,-2,-2,-3,-4,0.285156,0.507324,0.693359,0.4375,-0.375,0.0625,0.634178,-0.309655,1.92095
522,-1,11,11,0,-2,0,-1,2,0.285156,0.507324,0.693359,0.4375,-0.375,0.0625,0.634178,-0.309655,1.92095
523,-5,-8,-2,0,-2,1,-2,-6,0.280762,0.50293,0.692871,0.875,0.375,0.0625,0.634178,-0.309655,1.92095
523,4,9,4,2,1,-1,-2,1,0.280762,0.50293,0.692871,0.875,0.375,0.0625,0.634178,-0.309655,1.92095
536,-25,-14,5,-3,0,-3,-1,-5,0.280762,0.50293,0.692871,0.875,0.375,0.0625,0.634178,-0.309655,1.92095
536,6,3,-16,-5,-2,-1,3,0,0.280762,0.50293,0.692871,0.875,0.375,0.0625,0.634178,-0.309655,1.92095
543,1,1,1,2,-3,-1,0,1,0.275879,0.512695,0.712402,1.1875,0.4375,-0.125,0.634267,-0.309447,1.92105
543,-10,-2,0,2,3,0,-3,-3,0.275879,0.512695,0.712402,1.1875,0.4375,-0.125,0.634267,-0.309447,1.92105
559,3,-6,3,-1,-4,-2,-3,-5,0.275879,0.512695,0.712402,1.1875,0.4375,-0.125,0.634267,-0.309447,1.92105
559,-3,3,-3,1,0,-2,0,0,0.275879,0.512695,0.712402,1.1875,0.4375,-0.125,0.634267,-0.309447,1.92105
565,-1,-4,9,0,4,0,-1,1,0.26709,0.511719,0.698242,1.3125,-0.125,-0.3125,0.634681,-0.309153,1.92099
565,4,3,-22,3,0,0,-2,-4,0.26709,0.511719,0.698242,1.3125,-0.125,-0.3125,0.634681,-0.309153,1.92099
581,-2,-15,0,-3,-1,-2,-1,4,0.26709,0.511719,0.698242,1.3125,-0.125,-0.3125,0.634681,-0.309153,1.92099
581,0,13,27,-3,-5,-2,0,-4,0.26709,0.511719,0.698242,1.3125,-0.125,-0.3125,0.634681,-0.309153,1.92099
588,1,1,-17,1,-3,0,0,0,0.273926,0.503418,0.689941,0.8125,-0.5,-0.6875,0.634681,-0.309153,1.92099
588,-15,-9,21,-1,-3,-2,0,-3,0.273926,0.503418,0.689941,0.8125,-0.5,-0.6875,0.634681,-0.309153,1.92099
596,4,-3,5,2,2,1,-1,1,0.273926,0.503418,0.689941,0.8125,-0.5,-0.6875,0.634681,-0.309153,1.92099
596,5,11,-9,-1,0,-2,-1,-2,0.273926,0.503418,0.689941,0.8125,-0.5,-0.6875,0.634681,-0.309153,1.92099
603,15,1,-2,-2,1,-1,-2,1,0.28418,0.508301,0.696289,1.9375,0.125,-0.625,0.635384,-0.309166,1.92091
603,-30,-8,3,-2,1,-1,-1,-6,0.28418,0.508301,0.696289,1.9375,0.125,-0.625,0.635384,-0.309166,1.92091
619,1,-6,-7,-1,-7,-1,0,0,0.28418,0.508301,0.696289,1.9375,0.125,-0.625,0.635384,-0.309166,1.92091
619,-14,5,-8,-6,0,-2,-2,-2,0.28418,0.508301,0.696289,1.9375,0.125,-0.625,0.635384,-0.309166,1.92091
621,2,-3,4,1,-1,-2,0,0,0.27832,0.512207,0.70166,1.9375,1,-0.375,0.635863,-0.30889,1.92112
621,3,-2,-19,-3,-2,-3,-3,0,0.27832,0.512207,0.70166,1.9375,1,-0.375,0.635863,-0.30889,1.92112
642,2,2,6,6,2,4,2,0,0.27832,0.512207,0.70166,1.9375,1,-0.375,0.635863,-0.30889,1.92112
642,6,-1,-15,-3,0,1,-1,0,0.27832,0.512207,0.70166,1.9375,1,-0.375,0.635863,-0.30889,1.92112
643,-7,-3,2,-1,-1,1,1,6,0.271973,0.510254,0.699707,2.0625,0.4375,-0.625,0.636493,-0.308469,1.92111
643,-3,-2,-2,0,0,1,0,2,0.271973,0.510254,0.699707,2.0625,0.4375,-0.625,0.636493,-0.308469,1.92111
656,-7,11,9,-3,-4,-1,1,-8,0.271973,0.510254,0.699707,2.0625,0.4375,-0.625,0.636493,-0.308469,1.92111
656,16,-11,-2,1,-4,-1,-2,1,0.271973,0.510254,0.699707,2.0625,0.4375,-0.625,0.636493,-0.308469,1.92111
663,-14,3,1,0,0,0,1,-1,0.278809,0.509766,0.698242,0.4375,0.5,-1.0625,0.636517,-0.308243,1.92094
663,31,24,24,-1,-6,0,0,5,0.278809,0.509766,0.698242,0.4375,0.5,-1.0625,0.636517,-0.308243,1.92094
679,-38,-13,-54,-6,3,-1,0,3,0.278809,0.509766,0.698242,0.4375,0.5,-1.0625,0.636517,-0.308243,1.92094
679,-7,-4,11,-1,0,0,-4,-1,0.278809,0.509766,0.698242,0.4375,0.5,-1.0625,0.636517,-0.308243,1.92094
681,6,-12,-2,-4,-1,-1,-1,-4,0.28418,0.503418,0.685547,2,0.875,-1.3125,0.637215,-0.308052,1.92073
681,3,8,10,-4,-2,-4,-1,3,0.28418,0.503418,0.685547,2,0.875,-1.3125,0.637215,-0.308052,1.92073
702,9,2,-3,-1,-4,-4,-4,-1,0.28418,0.503418,0.685547,2,0.875,-1.3125,0.637215,-0.308052,1.92073
702,-6,-5,-10,3,-2,-1,-1,-3,0.28418,0.503418,0.685547,2,0.875,-1.3125,0.637215,-0.308052,1.92073
703,-3,-2,3,3,-1,0,1,-1,0.278809,0.518555,0.689941,2.625,1.75,-1.3125,0.638259,-0.307337,1.92067
703,-1,0,8,0,-1,0,-1,-2,0.278809,0.518555,0.689941,2.625,1.75,-1.3125,0.638259,-0.307337,1.92067
716,8,1,-11,-3,2,0,-2,3,0.278809,0.518555,0.689941,2.625,1.75,-1.3125,0.638259,-0.307337,1.92067
716,-13,-7,3,2,1,0,-1,-4,0.278809,0.518555,0.689941,2.625,1.75,-1.3125,0.638259,-0.307337,1.92067
723,-1,9,9,-4,-3,-1,-3,-2,0.275391,0.518555,0.692383,1.0625,2.625,-1.0625,0.638737,-0.306418,1.92092
723,1,-11,-28,-1,0,1,-2,-6,0.275391,0.518555,0.692383,1.0625,2.625,-1.0625,0.638737,-0.306418,1.92092
739,22,-4,0,2,2,0,-1,3,0.275391,0.518555,0.692383,1.0625,2.625,-1.0625,0.638737,-0.306418,1.92092
739,-25,10,5,1,-2,-2,0,3,0.275391,0.518555,0.692383,1.0625,2.625,-1.0625,0.638737,-0.306418,1.92092
740,-10,-8,-3,-2,3,0,-2,-6,0.263184,0.515137,0.702637,2.375,2.6875,-0.1875,0.639292,-0.305352,1.92148
740,-5,0,-7,-2,-4,0,-2,-2,0.263184,0.515137,0.702637,2.375,2.6875,-0.1875,0.639292,-0.305352,1.92148
762,4,1,4,-1,-2,0,-2,-5,0.263184,0.515137,0.702637,2.375,2.6875,-0.1875,0.639292,-0.305352,1.92148
762,19,11,6,-2,-1,1,0,4,0.263184,0.515137,0.702637,2.375,2.6875,-0.1875,0.639292,-0.305352,1.92148
763,-17,-5,-9,-2,-1,-1,-2,0,0.255859,0.526367,0.710938,2.8125,1.4375,-0.375,0.640053,-0.304431,1.92182
