0,3,-1,-1,-1,-1,-2,-2,0
0,0,-2,-1,-2,-2,-1,-1,-3
1,-1,-1,1,-2,-2,-1,2,-5
1,-2,-2,-1,-3,0,-1,0,1
1,-2,-2,0,-1,-2,-1,0,1
1,-2,-2,-1,-1,-1,0,0,-1
4,-1,-2,0,0,-2,0,-1,-1
4,-1,-1,-1,0,-1,-2,-2,-5
12,-1,-3,-1,-1,-1,-1,0,-5
12,1,0,-2,0,0,-2,-2,-1
20,-3,-1,-2,0,-1,1,-2,-2
20,-5,-1,-1,-1,-1,-2,-6,-3
28,1,0,1,0,-1,1,3,3
28,-3,-1,0,0,-1,-3,0,-2
41,-3,-2,-1,0,0,0,-1,-1
41,-1,-1,-3,-2,-2,-2,-2,1
53,-2,-2,-2,-1,-1,-2,-3,-1
53,1,0,0,-1,-3,-2,-1,0
65,2,0,-2,0,-2,-3,-1,-1
65,-1,-2,-2,-1,-2,0,-1,-2
73,0,1,-1,-1,0,0,-9,-4
73,0,-1,-3,0,1,1,10,3
101,1,0,-2,-2,-1,-2,-1,-1
101,0,-1,-1,-2,0,-1,6,0
128,-1,-2,0,-2,-1,0,-4,-1
128,-2,-1,0,0,-1,0,-4,1
129,-2,-2,0,2,-2,-2,-5,-1
129,-1,-2,-2,1,0,-4,-1,-1
132,0,-1,-1,0,-1,0,0,-3
132,0,-1,-1,-2,0,-3,-1,-3
134,0,0,0,-2,-4,-1,2,3
134,0,1,0,-1,-1,0,0,1
138,0,-1,-1,-1,1,-1,1,1
138,2,1,-1,-1,-3,1,1,-1
148,1,-1,-2,-1,1,2,-1,-2
148,2,0,0,-2,-2,0,-1,-1
154,-2,-1,-1,-1,-1,-1,0,-2
154,0,0,-1,0,-1,-1,-2,-2
171,-1,0,0,-2,-1,0,-3,-3
171,-1,-1,0,-2,-1,0,1,-1
176,1,-2,-2,-1,-3,-1,-3,-2
176,-2,-3,-3,-2,-2,-1,-3,0
199,0,0,-2,-2,0,0,-2,1
199,-2,-1,1,1,-1,-1,-2,-3
200,-3,-1,0,-1,-3,-1,-1,-2
200,-1,0,-1,-1,-2,1,0,-2
213,-2,-2,-1,0,1,-3,-4,-1
213,-3,-1,0,-2,0,-2,-3,-2
221,-2,-1,0,2,1,-1,0,-1
221,-2,-2,-1,0,2,1,1,1
237,-3,0,0,-1,-2,-1,-2,0
237,-1,-1,-1,-1,-1,0,-1,1
238,0,0,-1,-1,-3,-3,1,0
238,-1,0,0,2,0,-2,-1,1
260,1,0,-2,-1,-2,-3,1,0
260,-1,0,-2,0,-2,-3,-1,-1
260,0,0,-1,-1,-1,-2,-1,-3
260,-1,-1,0,0,-2,0,-2,-3
274,-2,-3,-1,-2,-1,-1,3,-2
274,-1,-2,-2,-2,-1,-2,0,-3
281,-1,-1,-2,1,1,0,-1,1
281,1,-1,-2,-1,-2,-1,-2,0
297,-1,-1,0,0,0,-2,-4,-2
297,0,-1,-1,-1,-2,0,-4,1
298,2,1,0,-1,1,-2,0,-1
298,0,0,-1,-1,0,-1,2,-3
319,-1,-1,-2,1,-3,-1,2,-1
