,MVC
channel_1,61.70372601310616
channel_2,35.7768395605864
channel_3,60.91970289206635
channel_4,73.82244154673943
channel_5,74.17923891650338
channel_6,54.64368242335583
channel_7,54.0791090380906
channel_8,51.879772258789394
