0,-1,15,-5,-11,-2,-2,-1,-3,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
0,0,-14,0,0,-1,-1,0,-1,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
1,2,-21,3,7,1,-1,0,-1,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
1,0,1,1,3,-2,-1,-2,0,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
3,-4,13,-5,-6,1,-1,0,0,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
3,-2,-4,-3,-2,-1,0,-1,-2,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
4,1,-19,0,4,0,-1,-2,-1,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
4,1,-3,-1,-1,0,-2,0,-1,0.916016,0.101562,0.250977,1.9375,2.1875,-2.6875,0.317146,-1.34011,2.96628
14,0,11,-4,-7,-3,1,0,-2,0.899414,0.105469,0.255859,1.375,2.875,-2.25,0.321378,-1.33741,2.96262
14,-1,-4,-1,-5,-1,-1,1,-1,0.899414,0.105469,0.255859,1.375,2.875,-2.25,0.321378,-1.33741,2.96262
20,0,-16,2,4,-1,-2,-1,0,0.899414,0.105469,0.255859,1.375,2.875,-2.25,0.321378,-1.33741,2.96262
20,0,-1,-2,0,-2,0,-1,0,0.899414,0.105469,0.255859,1.375,2.875,-2.25,0.321378,-1.33741,2.96262
32,-2,10,-4,-5,-4,-1,0,2,0.899414,0.0932617,0.26416,1,2.8125,-1.8125,0.323268,-1.33474,2.96107
32,-1,-4,-2,-1,1,-1,-2,-3,0.899414,0.0932617,0.26416,1,2.8125,-1.8125,0.323268,-1.33474,2.96107
35,0,-11,3,6,0,-1,-1,-1,0.899414,0.0932617,0.26416,1,2.8125,-1.8125,0.323268,-1.33474,2.96107
35,-1,1,2,-2,-1,-2,-2,-1,0.899414,0.0932617,0.26416,1,2.8125,-1.8125,0.323268,-1.33474,2.96107
50,-2,5,-2,-6,-3,0,-1,-1,0.929199,0.0683594,0.285156,4.125,2.75,-1,0.322157,-1.33198,2.96347
50,-2,3,0,1,-1,0,-1,0,0.929199,0.0683594,0.285156,4.125,2.75,-1,0.322157,-1.33198,2.96347
66,-2,-5,1,3,0,-2,-1,0,0.929199,0.0683594,0.285156,4.125,2.75,-1,0.322157,-1.33198,2.96347
66,-1,5,0,-3,-2,-1,-1,-2,0.929199,0.0683594,0.285156,4.125,2.75,-1,0.322157,-1.33198,2.96347
68,-1,8,-2,-3,0,-1,0,-2,0.956055,0.0561523,0.285645,9.375,2,-0.625,0.321571,-1.33007,2.96731
68,-1,3,-2,-3,0,-2,0,-2,0.956055,0.0561523,0.285645,9.375,2,-0.625,0.321571,-1.33007,2.96731
113,1,10,-2,-6,-1,-2,-2,-2,0.976074,0.0908203,0.272461,9.625,3.3125,1.0625,0.323609,-1.32603,2.97254
113,-4,12,-5,-11,0,0,-3,-3,0.976074,0.0908203,0.272461,9.625,3.3125,1.0625,0.323609,-1.32603,2.97254
