Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_37_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,2.0,-4.0,4.0,0.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,-2.0,-2.0,-3.0,0.0,1.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-1.0,0.0,-1.0,1.0,-4.0,1.0,2.0,0.0,0.93896484375,-0.3125,0.138671875,-0.7926829268292683,-0.9756097560975611,0.426829268292683
14_52_38_054,-1.0,-3.0,-2.0,1.0,-4.0,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-1.0,-1.0,0.0,-2.0,-1.0,-3.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-3.0,1.0,0.0,-3.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-2.0,2.0,-1.0,2.0,-3.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-1.0,-1.0,0.0,-1.0,-4.0,-2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_054,-2.0,-1.0,-3.0,-1.0,1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_100,0.0,-2.0,-4.0,2.0,-4.0,-7.0,2.0,-4.0,1.119140625,-0.30029296875,0.34228515625,-4.817073170731708,1.4634146341463417,0.48780487804878053
14_52_38_100,0.0,0.0,8.0,5.0,3.0,2.0,-3.0,0.0,0.9453125,-0.31591796875,0.14013671875,-0.12195121951219513,-1.1585365853658538,0.1829268292682927
14_52_38_100,2.0,0.0,-5.0,0.0,0.0,-2.0,-2.0,-1.0,0.94677734375,-0.318359375,0.1416015625,-1.0365853658536586,-1.0365853658536586,0.1829268292682927
14_52_38_100,-3.0,3.0,7.0,2.0,2.0,4.0,-2.0,0.0,0.94677734375,-0.318359375,0.1416015625,-1.0365853658536586,-1.0365853658536586,0.1829268292682927
14_52_38_100,2.0,2.0,-4.0,-6.0,1.0,-2.0,-1.0,-1.0,0.93896484375,-0.3125,0.138671875,-0.7926829268292683,-0.9756097560975611,0.426829268292683
14_52_38_100,0.0,0.0,4.0,0.0,-3.0,2.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_100,9.0,5.0,2.0,-3.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_100,-3.0,2.0,8.0,5.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_169,1.0,-4.0,-9.0,3.0,-2.0,-4.0,1.0,0.0,0.3955078125,-0.587890625,-0.54443359375,5.487804878048781,-1.1585365853658538,-0.9756097560975611
14_52_38_169,1.0,4.0,7.0,-4.0,0.0,1.0,-1.0,1.0,0.9716796875,-0.26220703125,-0.20068359375,-2.378048780487805,-0.6097560975609757,1.6463414634146343
14_52_38_169,0.0,-2.0,-6.0,-4.0,-3.0,-1.0,1.0,-3.0,0.54638671875,-0.51171875,0.1171875,-2.1341463414634148,-1.7682926829268295,4.2682926829268295
14_52_38_169,-1.0,2.0,7.0,0.0,2.0,0.0,-2.0,0.0,1.119140625,-0.30029296875,0.34228515625,-4.817073170731708,1.4634146341463417,0.48780487804878053
14_52_38_169,0.0,-2.0,-4.0,2.0,-4.0,-7.0,2.0,-4.0,0.9453125,-0.31591796875,0.14013671875,-0.12195121951219513,-1.1585365853658538,0.1829268292682927
14_52_38_169,0.0,0.0,8.0,5.0,3.0,2.0,-3.0,0.0,0.94677734375,-0.318359375,0.1416015625,-1.0365853658536586,-1.0365853658536586,0.1829268292682927
14_52_38_169,2.0,0.0,-5.0,0.0,0.0,-2.0,-2.0,-1.0,0.94677734375,-0.318359375,0.1416015625,-1.0365853658536586,-1.0365853658536586,0.1829268292682927
14_52_38_169,-3.0,3.0,7.0,2.0,2.0,4.0,-2.0,0.0,0.93896484375,-0.3125,0.138671875,-0.7926829268292683,-0.9756097560975611,0.426829268292683
14_52_38_169,2.0,2.0,-4.0,-6.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_169,0.0,0.0,4.0,0.0,-3.0,2.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14_52_38_206,0.0,3.0,4.0,-3.0,0.0,1.0,-3.0,-1.0,0.69873046875,-0.44091796875,-0.69091796875,2.439024390243903,-0.48780487804878053,0.9146341463414634
14_52_38_206,-2.0,-2.0,-8.0,0.0,-2.0,-3.0,2.0,0.0,1.4736328125,-0.052734375,0.73486328125,-7.01219512195122,0.06097560975609757,1.524390243902439
14_52_38_206,3.0,2.0,4.0,0.0,0.0,-2.0,1.0,-4.0,1.12353515625,-0.21826171875,0.91796875,-3.048780487804878,-0.426829268292683,0.9756097560975611
14_52_38_206,2.0,-3.0,-12.0,2.0,-4.0,-2.0,-5.0,-6.0,0.3955078125,-0.587890625,-0.54443359375,5.487804878048781,-1.1585365853658538,-0.9756097560975611
