,MVC
channel_1,39.49634419215347
channel_2,38.31744626578491
channel_3,39.62638682011908
channel_4,73.1818481754098
channel_5,84.32368735665077
channel_6,64.84408348540592
channel_7,22.311955948613345
channel_8,11.39005892910675
