0,-1,-2,-2,-1,0,0,2,-2
0,2,-1,-1,-1,-1,-2,-1,12
1,-4,-1,-1,-1,0,-2,0,0
1,1,-2,-1,-1,-2,-3,-2,0
3,-2,0,1,0,0,-1,-2,-20
3,1,0,0,1,-1,-1,-1,1
5,-1,-1,-1,0,-1,0,3,21
5,-1,-2,-1,-1,-2,-2,0,-4
10,-1,1,-1,-1,-2,-3,-10,0
10,-4,-3,-3,0,1,-1,-7,-20
17,0,-1,0,-1,-3,-5,1,-1
17,0,1,-1,0,0,1,2,-7
31,0,1,-2,-1,-2,-3,3,5
31,-2,1,-1,-1,-1,1,-4,-7
43,0,-1,-1,1,1,0,-5,3
43,-1,-1,0,0,-1,0,-1,2
54,-1,-1,-1,-2,-2,0,1,-1
54,-3,-3,-1,-1,-1,-2,-3,-5
71,-1,-2,-1,-2,-3,0,2,-1
71,1,-1,-1,-3,-1,0,-1,-3
72,-1,-1,-3,-1,1,1,-2,-1
72,-1,1,-1,-1,0,-1,3,7
117,-3,0,-2,-1,1,-1,-8,-30
117,2,-1,-1,-2,0,2,8,53
119,-2,-1,-2,-3,1,-1,-8,0
119,-2,-2,-2,-1,-1,-2,4,3
122,1,-1,0,0,-1,0,4,12
122,-4,-3,-1,-1,-1,-1,-5,-25
123,1,-1,1,-1,-2,1,0,4
123,-1,-2,-2,-1,1,-2,-4,-1
128,-2,0,1,0,-2,-2,-4,-2
128,1,0,-3,-3,0,-1,1,4
137,0,0,-1,-1,-1,0,1,-9
137,-2,1,0,-2,1,-2,-2,-6
143,-1,-2,-2,-2,-3,-3,-1,2
143,-2,-1,-1,0,-2,-2,-3,-9
159,0,-1,-3,1,-2,-3,0,-4
159,0,0,0,-2,-2,-1,-1,-1
165,-2,0,-1,1,0,1,-1,2
165,-2,-1,0,-2,-1,-1,-1,-3
190,-4,-2,-2,-1,0,0,-2,-1
190,0,-2,0,0,-2,0,-2,-3
192,0,-3,0,-1,-2,-2,-1,6
192,-2,-1,-2,2,0,-1,-2,-10
203,3,1,0,1,-2,1,1,-1
203,1,-1,-1,0,-1,-2,-1,1
220,-1,0,-2,-1,-3,0,1,0
220,1,-1,-14,-3,-3,-1,0,-5
227,-4,-6,0,-1,2,-3,0,2
227,-1,-1,-3,0,-3,0,-2,0
228,0,-2,1,-1,-1,-2,1,-1
228,-1,-2,-1,-1,1,-1,-1,-3
249,-2,0,0,1,-2,-2,-1,1
249,-1,-1,-2,-1,-1,-1,-1,-4
251,-1,-2,-4,-1,0,0,0,2
251,-1,-2,2,0,0,0,-1,-6
264,-1,0,-1,-1,0,1,-3,0
264,-3,-2,1,0,0,-3,-3,-2
271,-2,0,-1,-2,-1,-1,-2,-1
271,3,0,-11,-3,-2,-2,-1,-2
287,1,0,15,2,-1,0,0,-2
287,1,-1,-3,-2,-2,-1,1,-2
288,-1,-1,0,-1,-1,0,0,0
288,-2,-1,-1,0,-1,-2,-1,-2
310,-2,-1,-7,-3,-2,-1,-2,0
310,2,-2,-1,-1,-3,0,-3,3
311,-1,-3,1,-1,0,0,0,0
311,1,0,7,2,1,0,-2,-5
323,-2,-1,-2,0,0,1,-2,-2
323,-4,0,2,0,-2,-1,-3,0
332,3,-3,-4,-1,0,-1,0,-1
332,0,-2,0,-1,-3,-2,0,1
348,-2,1,-3,-1,0,-2,-2,-8
348,-3,-2,-3,0,1,0,-1,9
349,-2,1,-2,-1,0,-1,-1,-5
349,-3,0,-2,-1,-1,0,-1,-1
371,0,-1,1,0,-1,-2,-1,0
371,5,1,1,-3,-2,-1,-1,-3
372,0,1,0,-1,-3,-1,-2,-1
372,1,-1,2,-1,-1,-2,-1,0
392,-3,-2,-6,-2,-2,-3,-2,-15
392,2,0,-2,1,3,1,5,27
394,0,-1,1,-1,2,0,0,0
394,0,-1,-10,-2,-2,-1,-3,-5
407,4,2,17,1,-1,-1,1,3
407,0,0,-1,0,-1,-1,-3,-22
