device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.56,0.48,0.56,0.47
CV,test_1,trasp,0.22,0.18,0.22,0.19
Combined,test_1,trasp,0.56,0.48,0.56,0.47
Myo,test_1,opaq,0.33,0.11,0.33,0.17
CV,test_1,opaq,0.33,0.22,0.33,0.26
Combined,test_1,opaq,0.56,0.48,0.56,0.47
Myo,test_2,trasp,0.50,0.47,0.50,0.41
CV,test_2,trasp,0.67,0.83,0.67,0.67
Combined,test_2,trasp,0.67,0.83,0.67,0.67
Myo,test_2,opaq,0.50,0.47,0.50,0.41
CV,test_2,opaq,0.33,0.42,0.33,0.33
Combined,test_2,opaq,0.67,0.83,0.67,0.67
Myo,test,test_1,0.44,0.46,0.44,0.35
CV,test,test_1,0.28,0.20,0.28,0.23
Combined,test,test_1,0.56,0.48,0.56,0.47
Myo,test,test_2,0.50,0.47,0.50,0.41
CV,test,test_2,0.50,0.60,0.50,0.52
Combined,test,test_2,0.67,0.83,0.67,0.67
Myo,box,trasp,0.53,0.47,0.53,0.45
CV,box,trasp,0.40,0.42,0.40,0.38
Combined,box,trasp,0.60,0.82,0.60,0.57
Myo,box,opaq,0.40,0.45,0.40,0.29
CV,box,opaq,0.33,0.51,0.33,0.32
Combined,box,opaq,0.60,0.82,0.60,0.57
Myo,total,total,0.47,0.46,0.47,0.38
CV,total,total,0.37,0.44,0.37,0.36
Combined,total,total,0.60,0.82,0.60,0.57
