Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 1:06:22 PM
Collection Length (seconds):, 37.125
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, 0.023331, 0.135, -0.2304688, 0.135, -0.9853516, 0.135, 0.1391602, 0.0051923, -0.0097353, 0.135, 0.3242188, 0.135, -0.9350586, 0.135, -0.2285156, 0.0051923, -0.0038605, 0.135, 0.1186523, 0.135, -1.0068359, 0.135, 0.0200195, 0.0051923, 0.0273594, 0.135, -0.2167969, 0.135, -0.9863281, 0.135, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0219883, 0.1485, -0.2368164, 0.1485, -0.9858398, 0.1485, 0.137207, 0.0057115, -0.012253, 0.1485, 0.3222656, 0.1485, -0.9321289, 0.1485, -0.2280273, 0.0057115, -0.0048676, 0.1485, 0.1269531, 0.1485, -1.0048828, 0.1485, 0.0239258, 0.0057115, 0.0270237, 0.1485, -0.2128906, 0.1485, -0.9882812, 0.1485, 0.0463867, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0219883, 0.162, -0.2387695, 0.162, -0.9814453, 0.162, 0.1367188, 0.0062308, -0.012253, 0.162, 0.3178711, 0.162, -0.9350586, 0.162, -0.2255859, 0.0062308, -0.0068818, 0.162, 0.1352539, 0.162, -1.0039062, 0.162, 0.0258789, 0.0062308, 0.0246738, 0.162, -0.2109375, 0.162, -0.9863281, 0.162, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0223239, 0.1755, -0.2416992, 0.1755, -0.9770508, 0.1755, 0.1401367, 0.00675, -0.0109102, 0.1755, 0.3129883, 0.1755, -0.9296875, 0.1755, -0.2285156, 0.00675, -0.0058747, 0.1755, 0.1298828, 0.1755, -0.996582, 0.1755, 0.0249023, 0.00675, 0.0229953, 0.1755, -0.2109375, 0.1755, -0.9804688, 0.1755, 0.034668, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0226596, 0.189, -0.2358398, 0.189, -0.9775391, 0.189, 0.1367188, 0.0072692, -0.0112459, 0.189, 0.3144531, 0.189, -0.9262695, 0.189, -0.2304688, 0.0072692, -0.0041962, 0.189, 0.1176758, 0.189, -0.9916992, 0.189, 0.0209961, 0.0072692, 0.0219883, 0.189, -0.2172852, 0.189, -0.9775391, 0.189, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0260166, 0.2025, -0.2304688, 0.2025, -0.9794922, 0.2025, 0.1367188, 0.0077885, -0.0109102, 0.2025, 0.3203125, 0.2025, -0.9228516, 0.2025, -0.2324219, 0.0077885, -0.0043641, 0.2025, 0.1118164, 0.2025, -0.9912109, 0.2025, 0.0175781, 0.0077885, 0.0172885, 0.2025, -0.2158203, 0.2025, -0.9780273, 0.2025, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0231632, 0.216, -0.230957, 0.216, -0.9799805, 0.216, 0.1381836, 0.0083077, -0.0092317, 0.216, 0.3212891, 0.216, -0.9301758, 0.216, -0.2270508, 0.0083077, -0.0068818, 0.216, 0.1162109, 0.216, -1, 0.216, 0.015625, 0.0083077, 0.0135958, 0.216, -0.206543, 0.216, -0.9848633, 0.216, 0.0380859, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0179599, 0.2295, -0.2421875, 0.2295, -0.9853516, 0.2295, 0.1342773, 0.0088269, -0.0092317, 0.2295, 0.3212891, 0.2295, -0.9394531, 0.2295, -0.2202148, 0.0088269, -0.008896, 0.2295, 0.125, 0.2295, -1.0112305, 0.2295, 0.0195312, 0.0088269, 0.0132601, 0.2295, -0.2011719, 0.2295, -0.9926758, 0.2295, 0.0395508, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0182956, 0.243, -0.2490234, 0.243, -0.9902344, 0.243, 0.1313477, 0.0093462, -0.0085603, 0.243, 0.3212891, 0.243, -0.9394531, 0.243, -0.2216797, 0.0093462, -0.0083925, 0.243, 0.1293945, 0.243, -1.0112305, 0.243, 0.0180664, 0.0093462, 0.014435, 0.243, -0.1982422, 0.243, -0.9902344, 0.243, 0.0375977, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0172885, 0.2565, -0.2412109, 0.2565, -0.9941406, 0.2565, 0.1313477, 0.0098654, -0.0075532, 0.2565, 0.3271484, 0.2565, -0.9428711, 0.2565, -0.2197266, 0.0098654, -0.0078889, 0.2565, 0.1328125, 0.2565, -1.0092773, 0.2565, 0.0136719, 0.0098654, 0.0139315, 0.2565, -0.1972656, 0.2565, -0.9897461, 0.2565, 0.0371094, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, 0.0129244, 0.27, -0.2319336, 0.27, -0.9960938, 0.27, 0.1357422, 0.0103846, -0.0057069, 0.27, 0.3310547, 0.27, -0.9433594, 0.27, -0.2231445, 0.0103846, -0.0097353, 0.27, 0.137207, 0.27, -1.0112305, 0.27, 0.0063477, 0.0103846, 0.0109102, 0.27, -0.190918, 0.27, -0.9941406, 0.27, 0.0336914, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, 0.0099031, 0.2835, -0.2304688, 0.2835, -0.996582, 0.2835, 0.1352539, 0.0109038, -0.0045319, 0.2835, 0.3295898, 0.2835, -0.9467773, 0.2835, -0.2231445, 0.0109038, -0.0112459, 0.2835, 0.1347656, 0.2835, -1.0161133, 0.2835, 0.0039062, 0.0109038, 0.0109102, 0.2835, -0.1855469, 0.2835, -0.9980469, 0.2835, 0.0366211, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, 0.0092317, 0.297, -0.2353516, 0.297, -1, 0.297, 0.1303711, 0.0114231, -0.0065461, 0.297, 0.3227539, 0.297, -0.9462891, 0.297, -0.2241211, 0.0114231, -0.0104067, 0.297, 0.1289062, 0.297, -1.0151367, 0.297, 0.0039062, 0.0114231, 0.0129244, 0.297, -0.1811523, 0.297, -0.9970703, 0.297, 0.0415039, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, 0.0065461, 0.3105, -0.2358398, 0.3105, -0.9975586, 0.3105, 0.1318359, 0.0119423, -0.0082246, 0.3105, 0.3198242, 0.3105, -0.9443359, 0.3105, -0.2265625, 0.0119423, -0.0099031, 0.3105, 0.1298828, 0.3105, -1.0117188, 0.3105, 0, 0.0119423, 0.0119173, 0.3105, -0.1875, 0.3105, -0.9946289, 0.3105, 0.0405273, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, 0.0041962, 0.324, -0.2358398, 0.324, -0.9946289, 0.324, 0.1308594, 0.0124615, -0.008896, 0.324, 0.3110352, 0.324, -0.9414062, 0.324, -0.2260742, 0.0124615, -0.008896, 0.324, 0.1342773, 0.324, -1.0073242, 0.324, -0.0004883, 0.0124615, 0.0070497, 0.324, -0.1870117, 0.324, -0.9902344, 0.324, 0.0351562, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, 0.0058747, 0.3375, -0.2294922, 0.3375, -0.9897461, 0.3375, 0.1313477, 0.0129808, -0.008896, 0.3375, 0.3154297, 0.3375, -0.9418945, 0.3375, -0.2299805, 0.0129808, -0.0095674, 0.3375, 0.1337891, 0.3375, -1.0063477, 0.3375, -0.0019531, 0.0129808, 0.0062104, 0.3375, -0.1845703, 0.3375, -0.987793, 0.3375, 0.0390625, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.0102388, 0.351, -0.2280273, 0.351, -0.9931641, 0.351, 0.1323242, 0.0135, -0.0075532, 0.351, 0.3193359, 0.351, -0.9375, 0.351, -0.230957, 0.0135, -0.0102388, 0.351, 0.1333008, 0.351, -1.0063477, 0.351, 0, 0.0135, 0.0092317, 0.351, -0.1801758, 0.351, -0.9907227, 0.351, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, 0.0164492, 0.3645, -0.2280273, 0.3645, -0.9946289, 0.3645, 0.1328125, 0.0140192, -0.0070497, 0.3645, 0.3212891, 0.3645, -0.9399414, 0.3645, -0.2275391, 0.0140192, -0.0082246, 0.3645, 0.1333008, 0.3645, -1.0053711, 0.3645, -0.0014648, 0.0140192, 0.0085603, 0.3645, -0.1831055, 0.3645, -0.9912109, 0.3645, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, 0.0162814, 0.378, -0.2275391, 0.378, -0.996582, 0.378, 0.1323242, 0.0145385, -0.0072175, 0.378, 0.3232422, 0.378, -0.9418945, 0.378, -0.2265625, 0.0145385, -0.0082246, 0.378, 0.1367188, 0.378, -1.0078125, 0.378, 0.0014648, 0.0145385, 0.0065461, 0.378, -0.1816406, 0.378, -0.9951172, 0.378, 0.0385742, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, 0.0095674, 0.3915, -0.2285156, 0.3915, -0.9970703, 0.3915, 0.1328125, 0.0150577, -0.0082246, 0.3915, 0.3276367, 0.3915, -0.9418945, 0.3915, -0.2255859, 0.0150577, -0.0115816, 0.3915, 0.1420898, 0.3915, -1.0131836, 0.3915, 0.0073242, 0.0150577, 0.0083925, 0.3915, -0.1777344, 0.3915, -0.9941406, 0.3915, 0.0380859, , , , , , , , , , , , , , , , , , , , , , 
0.0155769, 0.0070497, 0.405, -0.2294922, 0.405, -0.9926758, 0.405, 0.1347656, 0.0155769, -0.008896, 0.405, 0.3276367, 0.405, -0.9375, 0.405, -0.2231445, 0.0155769, -0.0125887, 0.405, 0.1352539, 0.405, -1.0073242, 0.405, 0.0078125, 0.0155769, 0.0105745, 0.405, -0.1806641, 0.405, -0.9916992, 0.405, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, 0.0090639, 0.4185, -0.2280273, 0.4185, -0.9868164, 0.4185, 0.1362305, 0.0160962, -0.0085603, 0.4185, 0.3222656, 0.4185, -0.9335938, 0.4185, -0.2270508, 0.0160962, -0.0115816, 0.4185, 0.1289062, 0.4185, -1.0009766, 0.4185, 0.0092773, 0.0160962, 0.0090639, 0.4185, -0.1899414, 0.4185, -0.9873047, 0.4185, 0.0361328, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, 0.0085603, 0.432, -0.2338867, 0.432, -0.9863281, 0.432, 0.1396484, 0.0166154, -0.0083925, 0.432, 0.3198242, 0.432, -0.9316406, 0.432, -0.2304688, 0.0166154, -0.0097353, 0.432, 0.1308594, 0.432, -1.0039062, 0.432, 0.0170898, 0.0166154, 0.0030213, 0.432, -0.2001953, 0.432, -0.9873047, 0.432, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0171346, 0.0035248, 0.4455, -0.2358398, 0.4455, -0.984375, 0.4455, 0.1381836, 0.0171346, -0.0095674, 0.4455, 0.3139648, 0.4455, -0.9326172, 0.4455, -0.2338867, 0.0171346, -0.0095674, 0.4455, 0.1181641, 0.4455, -1.0009766, 0.4455, 0.0141602, 0.0171346, 0.0011749, 0.4455, -0.2075195, 0.4455, -0.9819336, 0.4455, 0.0429688, , , , , , , , , , , , , , , , , , , , , , 
0.0176538, -0.0008392, 0.459, -0.237793, 0.459, -0.9799805, 0.459, 0.137207, 0.0176538, -0.0095674, 0.459, 0.3125, 0.459, -0.9291992, 0.459, -0.2299805, 0.0176538, -0.0109102, 0.459, 0.1142578, 0.459, -1, 0.459, 0.0117188, 0.0176538, 0.0011749, 0.459, -0.2089844, 0.459, -0.9775391, 0.459, 0.0424805, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, -0.002182, 0.4725, -0.2348633, 0.4725, -0.9799805, 0.4725, 0.1376953, 0.0181731, -0.0075532, 0.4725, 0.3125, 0.4725, -0.9272461, 0.4725, -0.2294922, 0.0181731, -0.0135958, 0.4725, 0.1176758, 0.4725, -0.9960938, 0.4725, 0.0126953, 0.0181731, -0.0015106, 0.4725, -0.2075195, 0.4725, -0.9765625, 0.4725, 0.0405273, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, 0.0005035, 0.486, -0.2319336, 0.486, -0.9775391, 0.486, 0.1352539, 0.0186923, -0.0050355, 0.486, 0.3178711, 0.486, -0.9267578, 0.486, -0.2280273, 0.0186923, -0.0125887, 0.486, 0.1289062, 0.486, -0.9956055, 0.486, 0.0146484, 0.0186923, -0.0035248, 0.486, -0.1972656, 0.486, -0.9785156, 0.486, 0.0400391, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, 0.0048676, 0.4995, -0.2290039, 0.4995, -0.9746094, 0.4995, 0.1347656, 0.0192115, -0.0043641, 0.4995, 0.3242188, 0.4995, -0.9238281, 0.4995, -0.2246094, 0.0192115, -0.0112459, 0.4995, 0.1352539, 0.4995, -0.9956055, 0.4995, 0.0161133, 0.0192115, -0.0028534, 0.4995, -0.1870117, 0.4995, -0.9765625, 0.4995, 0.0405273, , , , , , , , , , , , , , , , , , , , , , 
0.0197308, 0.0075532, 0.513, -0.2285156, 0.513, -0.9741211, 0.513, 0.1376953, 0.0197308, -0.0065461, 0.513, 0.3291016, 0.513, -0.9213867, 0.513, -0.2202148, 0.0197308, -0.0109102, 0.513, 0.137207, 0.513, -0.9916992, 0.513, 0.0200195, 0.0197308, -0.0023499, 0.513, -0.1870117, 0.513, -0.9741211, 0.513, 0.0351562, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.0085603, 0.5265, -0.2294922, 0.5265, -0.96875, 0.5265, 0.1342773, 0.02025, -0.0068818, 0.5265, 0.3286133, 0.5265, -0.9204102, 0.5265, -0.2177734, 0.02025, -0.0097353, 0.5265, 0.1342773, 0.5265, -0.9887695, 0.5265, 0.0229492, 0.02025, -0.0018463, 0.5265, -0.1982422, 0.5265, -0.9711914, 0.5265, 0.0415039, , , , , , , , , , , , , , , , , , , , , , 
