Application:, Trigno Discover (2.0.1.2)
Date/Time:, 7/3/2025 10:45:47 AM
Collection Length (seconds):, 44.847
Bicep_R (83254), , , , , , , , , , , , , , Tricep_R (83087)
sensor mode: 50, , , , , , , , , , , , , , sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
, 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0095294, -0.0038605, 0.081, -0.1456909, 0.081, -0.520874, 0.081, 0.8039551, 0.081, -17.1832066, 0.081, 12.1221371, 0.081, -4.1374044, 0.0095294, 0.0070497, 0.081, -0.6223145, 0.081, -0.7063599, 0.081, -0.4356689, 0.081, -22.801527, 0.081, 10.0763359, 0.081, 2.0458016, , , , , , , , , , , , , , , , , , , , , , 
0.0103235, -0.0045319, 0.08775, -0.1421509, 0.08775, -0.5217285, 0.08775, 0.8012695, 0.08775, -16.7480907, 0.08775, 12.3740454, 0.08775, -4.1068702, 0.0103235, 0.0092317, 0.08775, -0.6262817, 0.08775, -0.7074585, 0.08775, -0.4290161, 0.08775, -22.8625946, 0.08775, 10.9465647, 0.08775, 1.778626, , , , , , , , , , , , , , , , , , , , , , 
0.0111176, -0.0048676, 0.0945, -0.1419067, 0.0945, -0.5172729, 0.0945, 0.7967529, 0.0945, -16.7480907, 0.0945, 12.1832066, 0.0945, -4.2900763, 0.0111176, 0.0105745, 0.0945, -0.6369629, 0.0945, -0.7006226, 0.0945, -0.427063, 0.0945, -22.8549614, 0.0945, 10.6183205, 0.0945, 1.7557251, , , , , , , , , , , , , , , , , , , , , , 
0.0119118, -0.0028534, 0.10125, -0.1375122, 0.10125, -0.5167847, 0.10125, 0.8015137, 0.10125, -17.1297703, 0.10125, 11.2290077, 0.10125, -4.6259542, 0.0119118, 0.0129244, 0.10125, -0.6390991, 0.10125, -0.7000122, 0.10125, -0.4290161, 0.10125, -22.7328243, 0.10125, 9.4580154, 0.10125, 1.7633588, , , , , , , , , , , , , , , , , , , , , , 
0.0127059, -0.0057069, 0.108, -0.1386108, 0.108, -0.5128174, 0.108, 0.8009644, 0.108, -17.160305, 0.108, 10.9389315, 0.108, -4.7022901, 0.0127059, 0.0142672, 0.108, -0.6429443, 0.108, -0.7037964, 0.108, -0.4315796, 0.108, -22.839695, 0.108, 8.1679392, 0.108, 1.8473282, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.0068818, 0.11475, -0.1378784, 0.11475, -0.5137329, 0.11475, 0.8030396, 0.11475, -17.4045811, 0.11475, 11.1450386, 0.11475, -4.7022901, 0.0135, 0.0179599, 0.11475, -0.635437, 0.11475, -0.7006836, 0.11475, -0.4362793, 0.11475, -22.801527, 0.11475, 6.7480917, 0.11475, 1.8625954, , , , , , , , , , , , , , , , , , , , , , 
0.0142941, -0.0070497, 0.1215, -0.1380615, 0.1215, -0.5115356, 0.1215, 0.8005371, 0.1215, -17.358778, 0.1215, 11.3129768, 0.1215, -4.7557254, 0.0142941, 0.0172885, 0.1215, -0.6318359, 0.1215, -0.7034912, 0.1215, -0.4356689, 0.1215, -22.5496178, 0.1215, 6.2671757, 0.1215, 2.1832061, , , , , , , , , , , , , , , , , , , , , , 
0.0150882, -0.011078, 0.12825, -0.1420898, 0.12825, -0.5137939, 0.12825, 0.8065186, 0.12825, -17.6106873, 0.12825, 11.3664122, 0.12825, -4.778626, 0.0150882, 0.0172885, 0.12825, -0.6286011, 0.12825, -0.6965942, 0.12825, -0.4351807, 0.12825, -22.1908398, 0.12825, 6.6030536, 0.12825, 2.5343511, , , , , , , , , , , , , , , , , , , , , , 
0.0158824, -0.0115816, 0.135, -0.1477051, 0.135, -0.5144043, 0.135, 0.8046875, 0.135, -17.1679382, 0.135, 11.2366409, 0.135, -4.9160304, 0.0158824, 0.0166171, 0.135, -0.6268921, 0.135, -0.6968994, 0.135, -0.4359741, 0.135, -21.8625946, 0.135, 7.038168, 0.135, 2.961832, , , , , , , , , , , , , , , , , , , , , , 
0.0166765, -0.0102388, 0.14175, -0.1448364, 0.14175, -0.5159912, 0.14175, 0.8035889, 0.14175, -16.9465656, 0.14175, 11.4045801, 0.14175, -4.740458, 0.0166765, 0.0149386, 0.14175, -0.6246338, 0.14175, -0.6937866, 0.14175, -0.4400024, 0.14175, -21.9083977, 0.14175, 7.1450381, 0.14175, 3.1450381, , , , , , , , , , , , , , , , , , , , , , 
