0,1,-2,-1,0,0,-3,0,0
0,-1,0,1,-1,0,0,-2,-1
0,-2,-1,0,-1,-2,-1,0,1
0,2,-1,0,0,-1,-1,1,0
1,-1,-1,-1,0,-1,-2,0,-1
1,-1,-2,-1,-1,-1,-2,1,-1
2,0,-1,-2,-1,-1,-1,-1,1
2,-3,-2,-2,-1,-1,-2,-3,2
18,1,-1,-1,-2,-1,1,-1,-1
18,0,0,-2,0,-1,-1,-2,-3
21,-1,-2,-2,0,-1,0,0,-3
21,-3,-2,-2,-1,-2,0,1,-2
31,-3,0,-1,-1,0,-1,2,-1
31,-3,-1,-2,0,-1,1,0,0
38,-2,-1,-2,-2,-1,1,-1,-2
38,1,-1,-1,1,2,-1,-4,-1
46,0,-1,1,12,-1,-2,-2,0
46,-3,-4,-8,-17,-8,-5,-5,-2
60,0,1,-1,1,1,0,-1,1
60,-1,-2,-2,-9,-3,0,0,-3
70,-4,-1,-6,-22,-25,-3,-3,-2
70,-2,-2,-2,-1,-1,0,-2,1
85,1,0,-1,0,-2,-1,-2,-1
85,-1,0,-2,1,7,-3,0,-1
124,-2,0,-1,-2,-1,0,-2,-1
124,-1,0,0,-1,1,1,0,0
125,0,0,-1,-2,-2,0,0,0
125,-1,-2,-1,-1,-1,-2,-1,1
129,-2,-1,0,-3,-2,-1,-2,-2
129,-3,-1,-1,-1,-3,-1,-2,-3
130,4,0,0,0,-1,-1,0,-2
130,2,-1,-2,-1,-1,-1,2,-2
135,0,1,-1,1,0,0,0,0
135,-1,-1,-1,-1,-1,-3,-2,-1
142,-4,-3,-1,-2,-1,1,0,-1
142,-1,1,-2,-1,-2,-1,-3,-1
159,-3,-3,-1,-1,-2,-3,-2,-1
159,-1,-2,-1,-1,-3,0,-1,-1
165,-3,0,1,-3,0,-1,-1,-3
165,-2,-1,0,-2,0,-1,-2,-3
175,0,-1,-1,0,1,-2,0,-1
175,-2,0,-1,-1,0,-2,-3,2
196,-1,-2,-1,0,-1,-1,-2,2
196,-3,-1,-1,1,-1,-2,-3,0
198,0,-1,-2,-2,-1,1,-1,-1
198,-1,-2,0,0,-1,-1,-1,-1
210,0,1,-1,0,0,-1,-1,1
210,1,-2,0,-2,-1,-1,0,-2
220,-2,0,-2,0,-1,-2,1,-2
220,2,0,-1,-1,-2,0,3,-4
234,0,-1,-1,-1,-1,0,1,-2
234,-5,-1,-2,-1,-1,-1,-1,0
236,3,-2,2,-2,0,-1,1,1
236,-1,-1,0,-1,0,0,2,-1
257,-4,-3,-1,0,-1,0,-3,-4
257,-1,-1,0,-1,-1,0,-1,-2
258,-1,0,-1,1,-1,0,1,-1
258,1,0,0,-1,-1,-3,-3,-3
271,1,0,-2,0,-2,-2,-2,-3
271,-5,-2,-3,-2,-1,-1,-2,-1
280,1,1,0,0,-1,0,0,0
280,-3,-2,-2,-2,-1,-2,-3,1
295,-1,0,-1,0,-4,-1,-1,2
295,-4,-1,-1,-1,-2,0,-4,-1
297,3,2,1,-1,-1,0,-2,1
297,0,-1,-2,0,-2,-2,0,-2
317,0,-1,-3,-2,0,-2,-1,-2
317,-2,1,-1,0,0,-2,1,-2
318,-1,-2,-2,0,-3,-2,-2,-1
318,-2,-2,-1,-2,-1,-1,0,0
330,-1,-3,-1,-1,-2,0,1,0
330,1,1,1,0,-2,0,-2,-1
339,-2,-1,-1,-1,-2,0,-2,-1
339,-3,-1,-3,0,-1,-2,-2,-2
355,-2,0,0,0,0,-1,-2,0
355,1,-1,-3,-1,0,-2,1,-1
356,-3,-2,-1,-1,-1,-1,0,-2
356,1,1,1,-1,-3,0,1,-2
377,3,1,-2,-2,-1,0,0,-1
377,-1,1,0,1,0,0,-2,0
378,-1,-1,-2,-2,0,-3,-3,0
378,-2,1,-2,-2,-1,-2,-4,-3
391,-2,0,0,-1,-1,-2,-2,1
391,2,0,0,-3,-2,0,0,-4
399,-1,-1,0,-1,0,-1,-2,-1
399,-2,-2,-1,-1,-1,-1,-2,-2
414,-1,-1,-1,0,-1,-1,-1,-3
414,-1,-1,-1,-2,-2,0,0,3
416,-4,0,-1,-1,1,0,-3,-7
416,0,0,-1,0,-1,2,2,0
437,-3,-1,1,-2,-1,-1,1,1
437,-4,-2,0,-2,-1,-3,0,0
439,-1,-2,0,-2,-1,-2,0,0
439,0,-2,1,-3,-1,-2,0,1
451,-6,-3,-1,0,0,-2,-3,-2
451,0,-1,0,0,0,-2,-1,1
459,-1,-1,-2,0,-1,-1,0,-1
459,0,0,-2,0,-1,-1,0,-3
475,2,0,0,0,-2,-2,-1,0
475,3,1,0,-1,-2,1,2,-1
477,-2,-1,0,-1,-1,-1,-2,-2
477,-1,-1,-1,-1,0,-1,-1,4
497,-1,-2,-2,-2,-1,-1,-3,4
497,0,-1,-1,0,-1,1,-1,-13
498,0,-2,-1,-1,-4,-2,-1,-6
498,-3,-3,-1,-1,-1,-4,-4,11
510,2,0,-1,-1,-1,-1,-2,0
510,-2,-2,-2,-1,-2,0,-2,2
534,-6,-1,-2,-1,1,-2,-5,-2
534,-1,-1,-2,1,-1,0,-1,-6
534,-2,-1,-1,0,-3,-2,0,-1
534,-1,0,0,-1,0,0,0,-1
541,1,0,-2,-1,-2,0,0,-1
541,6,2,0,-1,-1,-2,2,-1
556,1,0,-1,-1,0,-2,2,1
556,-2,-1,-2,-2,-2,0,0,-2
564,0,-1,0,0,-1,-2,-1,2
564,-3,-4,-1,-1,0,2,-1,-2
570,-1,-2,-2,1,0,0,-2,-8
570,0,0,0,-1,0,0,-3,0
579,1,1,-1,-1,-1,-2,-3,2
579,0,1,0,-1,-2,0,-3,-2
617,-2,0,4,-2,1,0,-2,4
617,1,0,-2,-2,0,-3,-8,-30
626,3,-1,-2,0,-1,4,10,46
626,-7,-3,-2,-3,-1,-1,-2,-8
626,2,-1,-1,1,0,-3,1,5
626,0,0,0,0,-2,-3,0,-7
640,-1,-3,0,0,-1,-2,-2,-11
640,3,-1,-2,-1,-1,1,1,3
641,-1,-1,-2,-2,0,0,-2,-2
641,1,-1,-2,-2,-2,-3,-3,9
642,-2,-1,0,0,0,0,-2,-10
642,-3,-2,0,1,-1,0,0,4
655,-3,-1,-3,-1,-2,-1,-1,-9
655,-1,-2,-1,-1,-1,0,0,7
656,-3,0,-2,-2,-1,1,2,-4
656,2,1,1,-1,-1,-3,-2,-8
676,-4,-1,-1,-1,-2,0,-2,0
676,-4,-3,-4,-2,-1,-2,0,4
691,2,2,15,3,0,-2,-4,-6
691,-1,0,0,-1,-1,-1,0,0
692,-1,-2,-4,-2,-1,-2,2,-3
692,1,-2,1,0,0,0,0,6
699,1,0,-3,-1,-2,-1,-5,-7
699,1,-2,-2,1,0,1,2,-4
714,-1,-2,0,0,-1,1,-3,-29
714,1,-1,-1,-2,0,1,4,6
716,-5,-2,-4,-1,-1,-3,-3,-7
716,-2,-1,-4,-2,0,-2,-3,10
737,2,-1,-2,2,0,0,-3,-9
737,-6,-1,3,0,-1,-1,0,-5
745,-4,-7,-8,-2,-2,-3,-1,-10
745,-3,-2,-2,-1,-1,-2,-3,-8
751,-4,-2,-3,-1,-1,-1,-1,9
751,2,0,2,0,-1,-2,-2,4
767,2,2,0,-2,1,-1,-2,-1
767,-3,-2,-1,-1,-2,-2,-3,0
773,-3,-2,-1,0,-2,1,3,7
