IAV_biceps,ISD_biceps,KURT_biceps,LD_biceps,MAV_biceps,MNF_biceps,MNP_biceps,MPK_biceps,RMS_biceps,SAMPEN_biceps,SKEW_biceps,SM_biceps,SSC_biceps,VAR_biceps,WAMP_biceps,WL_biceps,ZC_biceps,IAV_triceps,ISD_triceps,KURT_triceps,LD_triceps,MAV_triceps,MNF_triceps,MNP_triceps,MPK_triceps,RMS_triceps,SAMPEN_triceps,SKEW_triceps,SM_triceps,SSC_triceps,VAR_triceps,WAMP_triceps,WL_triceps,ZC_triceps,label
6.140240112458171,0.15166827922323406,2.392910348336375,1.0244602708064616,0.024463108017761637,0.7987619690962442,4.745029928528355e-06,0.028088887569333285,0.024581621031226658,0.0060640887490198,0.11682162084987639,0.08343255386099635,106,5.812438634171014e-06,86,0.008364557383746325,50,29.70961780567317,3.516599978857385,2.9528753194242077,1.1183649742197022,0.11836501117798075,0.7811799224040038,0.0001105449433941958,0.11852422784956809,0.11836536014182328,0.0018157233213892694,-0.34344091559118956,1.974039766265511,90,8.261034001745489e-08,152,0.0017776127467728359,36,no weight
6.600090728239875,0.17382410784259567,2.7111498402003726,1.0262946512839677,0.02629518218422261,0.6955342987045543,5.459956080664602e-06,0.028088887569333285,0.026315894931887043,0.04850549289563036,-0.07983130121783606,0.0856366710898043,109,1.089719964659994e-06,76,0.00717088705661929,46,28.86004744085882,3.322114692338756,3.0132700416032465,1.1149735065722455,0.11498026868868057,0.7633809572286306,0.00010437278759900602,0.11843159205768189,0.11504571570703902,0.009366607730681731,-0.2003050021188809,1.8123167522180732,91,1.5054514823671233e-05,149,0.011734376805119795,33,no weight
6.157209529431215,0.15179980932110235,2.9863083747002577,1.0245292395402668,0.024530715256698067,0.8338581390021508,4.760053172689144e-06,0.027592682481425684,0.024592277584988765,0.00652705451032513,0.25395921805694094,0.08996286202038986,93,3.0241258119414264e-06,68,0.006172138993475594,38,26.806474434097503,2.8709676757574387,2.5508417065828164,1.1067841800713218,0.10679870292469125,0.8153502513404086,9.012401233376248e-05,0.11674661510279526,0.10694913851971562,0.005310139780494872,0.10161740457655101,1.6731200233045311,83,3.215528371286253e-05,144,0.019349937120031413,36,no weight
5.887470500076487,0.1383237080349238,2.632071815776246,1.0234556162641337,0.023456057769229034,0.8888355469263595,4.3447075014534134e-06,0.02541644973288323,0.02347531619081329,0.04316650119759095,0.32227357598931117,0.08889497707696241,88,9.038241852509846e-07,68,0.00613520247390981,36,25.581605485833315,2.6084629995296074,2.391499935482371,1.1019165458748512,0.10191874695551122,0.8460571462871264,8.197872599496882e-05,0.1066972152525621,0.10194254689113777,0.04524375230661766,-0.03277745202163878,1.5952425427531431,83,4.851885670294306e-06,145,0.014952125398761493,34,no weight
6.371583750430071,0.16249103709877788,3.182298511426756,1.025383339270164,0.0253847958184465,0.7889770070704595,5.096283198368477e-06,0.028015014530201714,0.025443558119805646,0.0056874370253844515,-0.2515649570891432,0.09021741156619384,95,2.9867910517089964e-06,84,0.006008944571726529,35,26.27544414803581,2.7530909521242273,2.2800312054388936,1.1046785399981158,0.1046830444144853,0.7803016644033075,8.65052924700179e-05,0.1095588956362927,0.10473055833471197,0.008587836786779084,-0.18138696631643647,1.5364868018094269,82,9.950061215406884e-06,136,0.01174087303538425,36,no weight
6.69481369954072,0.17872149999525105,3.4090677992157397,1.0266722664157375,0.02667256454000287,0.7194440561903003,5.615771028230208e-06,0.028015014530201714,0.02668403733670483,0.04851104679876627,-0.04204129264681091,0.09159644164588862,104,6.121494460390878e-07,83,0.005347616615143078,34,26.50114731948423,2.800016861563342,2.624213187989243,1.105578714534425,0.10558226023698895,0.7424425197569644,8.798872778135688e-05,0.1095588956362927,0.10561934322650833,0.029993999790664853,-0.2483933865515091,1.48543919583151,91,7.83198684771147e-06,127,0.01509441110822797,44,no weight
6.366879824810481,0.16191932957374655,3.031600569974005,1.0253652455764823,0.02536605507892622,0.8651401970228997,5.083487819892021e-06,0.027668980035650367,0.02539875844549681,0.02670679870364436,0.04504544444790132,0.10158251955198569,100,1.6601803055766872e-06,89,0.006886206408171353,44,24.944739616400554,2.485414001934961,2.9738461010955346,1.0993698934966343,0.09938143273466356,0.820504535601719,7.803049595004679e-05,0.1082621574632325,0.09950903384353578,0.00846679154888728,0.19712795407854322,1.4619436946486015,93,2.5378644079489605e-05,136,0.018814153912628265,42,no weight
7.3855470305459185,0.22741828096473582,2.9440728201598207,1.0294050048349814,0.029424490161537524,1.218004374280292,6.991717075837883e-06,0.043474938023480035,0.030100646640003562,0.009986220540706829,-0.2035199585465064,0.18047831425876826,95,4.024830687993954e-05,98,0.022322940968546708,48,24.649538563313698,2.4264703436063066,2.7255000904457938,1.0981949150479622,0.09820533292156852,0.8873612355642679,7.618711528277133e-05,0.1090951629300074,0.09832198393201753,0.028762685937515273,0.20440458591639638,1.5521749394198143,97,2.2925110091807207e-05,141,0.02525490772607536,41,no weight
10.923108705587214,0.5025821272024007,5.230878098395898,1.0434663922416234,0.043518361376841494,1.0794999301586892,1.537508966438552e-05,0.06273967400381279,0.044747281837918096,0.0004383317506845392,0.7399338599685995,0.32751263769210565,84,0.00010847145495670501,145,0.037104487863981364,38,27.356051450667778,3.000867466406613,5.204200912775204,1.1089534315248808,0.10898825279150509,0.8001097100355303,9.403149742527456e-05,0.12244040326318692,0.10934188253601805,0.004300358134219483,-0.34319307756536244,1.6781285249324438,99,7.720802997535444e-05,141,0.029723907127893676,47,no weight
16.35061282359714,1.118679569917019,3.1659287552073065,1.0650419549020163,0.06514188375935115,1.0798688845416091,3.433228295894135e-05,0.09282709863553447,0.06675994844815919,0.0016749183472143756,0.3185126174431721,0.749102315109186,55,0.0002134256970840547,187,0.049352160612054434,30,29.421592592828198,3.451589063803881,4.879871925985009,1.1172123896881412,0.11721750036983346,0.7233711797013962,0.00010845713573127933,0.12244040326318692,0.11726615390558476,0.03861178931532678,-0.48685106049719223,1.7792092124007777,82,1.1408458856387455e-05,136,0.02156542382717161,39,no weight
