device,test,box,accuracy,precision,recall,f1
Myo,test_1,trasp,0.5556,0.4762,0.5556,0.4667
CV,test_1,trasp,0.3333,0.3333,0.3333,0.3333
Combined,test_1,trasp,0.7778,0.8667,0.7778,0.7833
Myo,test_1,opaq,0.7778,0.7778,0.7778,0.7778
CV,test_1,opaq,0.3333,0.2778,0.3333,0.2815
Combined,test_1,opaq,0.8889,0.9167,0.8889,0.8857
Myo,test_2,trasp,0.5000,0.4667,0.5000,0.4127
CV,test_2,trasp,0.3333,0.1333,0.3333,0.1905
Combined,test_2,trasp,0.5000,0.4667,0.5000,0.4127
Myo,test_2,opaq,0.8333,0.8889,0.8333,0.8222
CV,test_2,opaq,0.3333,0.1111,0.3333,0.1667
Combined,test_2,opaq,1.0000,1.0000,1.0000,1.0000
Myo,test,test_1,0.6667,0.7222,0.6667,0.6595
CV,test,test_1,0.3333,0.3741,0.3333,0.3434
Combined,test,test_1,0.8333,0.8889,0.8333,0.8364
Myo,test,test_2,0.6667,0.8333,0.6667,0.6413
CV,test,test_2,0.3333,0.2286,0.3333,0.2694
Combined,test,test_2,0.7500,0.8571,0.7500,0.7504
Myo,box,trasp,0.5333,0.8056,0.5333,0.4977
CV,box,trasp,0.3333,0.3472,0.3333,0.3205
Combined,box,trasp,0.6667,0.8333,0.6667,0.6627
Myo,box,opaq,0.8000,0.8222,0.8000,0.8054
CV,box,opaq,0.3333,0.2778,0.3333,0.2521
Combined,box,opaq,0.9333,0.9444,0.9333,0.9327
Myo,total,total,0.6667,0.7778,0.6667,0.6726
CV,total,total,0.3333,0.3833,0.3333,0.3311
Combined,total,total,0.8000,0.8750,0.8000,0.8054
