file_id,window_idx,MAV,WL,IEMG,VAR,ZC,SSC,WAMP,label
Trial_8,0,0.0018914965964351171,0.0028319232832370415,0.7282261896275201,6.735460719021467e-07,42,61,184,no weight
Trial_8,1,0.0030093888571675327,0.0016439156705251544,1.1586147100095001,2.5637949004736865e-07,29,55,170,no weight
Trial_8,2,0.0035354153668994697,0.0004571015344044015,1.3611349162562958,1.7638417561540935e-08,33,63,189,no weight
Trial_8,3,0.0036556731646019565,0.00044016042972822196,1.4074341683717533,4.12726661365801e-09,43,62,188,no weight
Trial_8,4,0.00355592209643521,0.00042304099763439823,1.3690300071275558,1.509764026043073e-08,42,51,178,no weight
Trial_8,5,0.0034475022555140507,0.00042315149749571875,1.3272883683729095,3.782727390842938e-09,41,55,191,no weight
Trial_8,6,0.0035506377321384793,0.0004233543303288792,1.3669955268733145,1.5120635620697343e-08,44,69,199,no weight
Trial_8,7,0.0036640559047206567,0.0004079920031587088,1.4106615233174529,3.565062411940701e-09,47,67,203,no weight
Trial_8,8,0.0035736701110248704,0.00039230066016754384,1.3758629927445751,1.2959754188489889e-08,42,56,194,no weight
Trial_8,9,0.003460787412328112,0.00034962320916564083,1.3324031537463232,2.820857992673644e-09,44,64,200,no weight
Trial_8,10,0.003522126489599002,0.00030605638262343844,1.3560186984956157,7.844034908644569e-09,52,64,205,no weight
Trial_8,11,0.0037815155891704477,0.0007451645287074849,1.4558835018306224,5.002740755628756e-08,47,53,212,no weight
Trial_8,12,0.004267374842122817,0.0011993743746983765,1.6429393142172843,1.236828356105457e-07,37,51,200,no weight
Trial_8,13,0.004878153397728744,0.001232999716295387,1.8780890581255663,1.2728511033715622e-07,37,43,178,no weight
Trial_8,14,0.005500299172092092,0.0012556214263314477,2.1176151812554553,1.331706098621839e-07,38,46,219,no weight
Trial_8,15,0.006186828549266334,0.0014992627985866511,2.3819289914675386,1.8839950614104914e-07,33,62,249,no weight
Trial_8,16,0.0069996875203753835,0.0017527596095256873,2.6948796953445227,2.6177635708554284e-07,35,66,259,no weight
Trial_8,17,0.011674358502027488,0.01763806333740799,4.494628023280583,3.077591841673483e-05,37,58,299,no weight
Trial_8,18,0.024647806914482994,0.03429491491159831,9.489405662075953,0.00010300507881237528,35,56,340,no weight
Trial_8,19,0.044923683595869665,0.04672574879501221,17.295618184409822,0.00018370584592231306,37,57,364,heavy
Trial_8,20,0.07137489344968577,0.05910742622919871,27.479333978129024,0.0003000970331131769,46,65,371,heavy
Trial_8,21,0.09651829944138748,0.03983210856143078,37.15954528493418,0.00014600008576101867,50,75,373,heavy
Trial_8,22,0.11118106352802204,0.018769699229280956,42.804709458288485,2.6629578152248805e-05,54,73,372,heavy
Trial_8,23,0.11960502101657881,0.015851400963571224,46.047933091382845,2.128146078283831e-05,53,70,371,heavy
Trial_8,24,0.12704620583302698,0.013908683331933624,48.91278924571539,1.6080291692842334e-05,55,75,373,heavy
Trial_8,25,0.13366552813416469,0.012594684776739307,51.4612283316534,1.3411182722065481e-05,58,71,379,heavy
Trial_8,26,0.13964113062717573,0.011304641041268354,53.76183529146266,1.0639962754935132e-05,51,70,378,heavy
Trial_8,27,0.14277515604256985,0.011456740710107327,54.9684350763894,2.8150548177024985e-06,46,74,375,heavy
Trial_8,28,0.140184748163324,0.011707772514841785,53.97112804287974,1.1438082937550702e-05,45,71,373,heavy
Trial_8,29,0.12961841035879815,0.0321344235056235,49.90308798813729,9.220357541325716e-05,48,72,368,heavy
Trial_8,30,0.10802846729740297,0.05427370925007856,41.59095990950014,0.000261707205836614,47,72,363,heavy
Trial_8,31,0.0836118054016258,0.04067902763071081,32.190545079625934,0.00014886438755737106,40,65,367,heavy
Trial_8,32,0.06741103424522257,0.024087386316273413,25.95324818441069,4.442137750215044e-05,34,61,366,heavy
Trial_8,33,0.058199732274101336,0.01311676200227252,22.406896925529015,1.77383919842616e-05,32,60,360,heavy
Trial_8,34,0.054289152526012054,0.0025025605818633154,20.90132372251464,2.6304044598864386e-07,32,56,368,heavy
Trial_8,35,0.05383884226957137,0.0018121428634280193,20.727954273784977,6.916813329436202e-08,37,56,367,heavy
Trial_8,36,0.05432009759036019,0.0020263211438129106,20.913237572288672,3.4552678089683585e-07,34,62,359,heavy
Trial_8,37,0.05721248365934035,0.010336227974031116,22.026806208846033,9.934436758187691e-06,28,57,365,heavy
Trial_8,38,0.06467618941312052,0.01953773711065164,24.9003329240514,3.467491408933621e-05,29,43,368,heavy
Trial_8,39,0.07294066253553916,0.011879196336227762,28.082155076182573,1.4633810688091329e-05,31,52,364,heavy
Trial_8,40,0.07650721536386206,0.002367178934201297,29.45527791508689,2.2034875197649355e-07,31,63,363,heavy
Trial_8,41,0.07529138707871524,0.00889672947337726,28.987184025305368,5.82917698674311e-06,30,66,365,heavy
Trial_8,42,0.06918278976006408,0.017285045462618706,26.635374057624666,2.7322744719429113e-05,30,72,361,heavy
Trial_8,43,0.0628030153595279,0.014069674836780344,24.17916091341824,7.6964785920772e-06,27,70,347,heavy
Trial_8,44,0.06312919147953674,0.00945133671945217,24.304738719621646,6.420227309658814e-06,31,60,358,heavy
Trial_8,45,0.06974158211231597,0.018828111950743895,26.85050911324165,3.022635396067352e-05,35,59,377,heavy
Trial_8,46,0.08195682008104181,0.030054892689630894,31.553375731201097,8.165534690833568e-05,33,57,375,heavy
Trial_8,47,0.09186229958341785,0.029938804089443327,35.36698533961587,2.20009476622585e-05,38,60,370,heavy
Trial_8,48,0.08704613399118863,0.028335957735327072,33.512761586607624,6.399464793932281e-05,40,67,366,heavy
